# product                 SHA1                                      Version                       
BUILD=b4829
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
testdata_decam            9a3ee7c47e5b744c6385fc735f964c043f1ce9c8  19.0.0-2-g9a3ee7c                        
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  19.0.0-3-g62ccb58                        
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  19.0.0-1-g81f4c9d                        
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  19.0.0-3-g489cb8a                        
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
astropy                   5006c745bb1dd6a583acc34b11ea3986ca462b95  3.1.2.lsst2                              python
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
python_mccabe             86ed08f574f8482e562f95e461fcf8a3ec561f00  0.6.1.lsst2                              python
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+2                                  python,mpi
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+5                                  python
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+5                           python,numpy,pykg_config,cfitsio,astropy
pytest_session2file       c58ee1678f3d857602a6af30cc331913e41f667b  0.1.9-1-gc58ee16                         python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
pybind11                  ccb1d112055e50d0656bf402608954a1d1b9a778  2.2.4.lsst2                              python,numpy,eigen
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+3                            numpy,pyyaml
proxmin                   efd6ccc7f71efbdf2a095564ef82b222f0b31d8c  lsst-dev-gefd6ccc7f7                     numpy,scipy
ndarray                   831f82a25e2661df79f318c5887fb7b3407311f8  1.5.3.lsst2                              boost,python,numpy,eigen,pybind11,fftw
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
firefly_client            97c9674977b979349adf7f2921ae6fd0c842797f  2.2.0.lsst1                              ws4py,python_future
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
fgcm                      78fc56007b9da3548bafb4b09c9487c37a2b917b  lsst-dev-g78fc56007b                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+4                                  python,python_mccabe,pycodestyle,pyflakes
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst+3                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
pytest_flake8             8dd8c06520ce9a769d5fabb76d0b77e7d8d867c5  1.0.4-1-g8dd8c06+1                       python,flake8
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+4                                  python,flake8
scarlet                   5b72d4495c8d369d207a9c93f8e53ed665dbcc38  lsst-dev-g5b72d4495c+1                   pybind11,scipy,numpy,eigen,proxmin,autograd
sconsUtils                80d16084e44ef2b6e6eff4ed4e3f7433b06ef453  19.0.0-1-g80d1608                        scons,pytest_flake8,pep8_naming,pytest_session2file,doxygen
psfex                     5e8aa59c6dbaae97c74fd7e428ac9be0ad6ea262  19.0.0-1-g5e8aa59                        gsl,sconsUtils,fftw
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+7                        sconsUtils
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f+2                      sconsUtils
astshim                   a72da6bbfa9d1fec5e5d87d1aa560234f2b95958  19.0.0-1-ga72da6b+3                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
base                      9675b69d53decfd7a17e052ec242fb5a4253b6ae  19.0.0-2-g9675b69+3                      sconsUtils,pybind11,python,doxygen
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  19.0.0+5                                 base,boost,pybind11,python
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+12                    scons,sconsUtils
utils                     686a884ec18b5a6267ea32289b315f2d3bb31c30  19.0.0-7-g686a884+4                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
sphgeom                   5549ca46ee7ac2727962caa0b578589045194d67  19.0.0-1-g5549ca4+4                      base,sconsUtils,pybind11,doxygen
geom                      de8e5e3b60ee950df6a6c88af15d8ccb4d53eb24  19.0.0-2-gde8e5e3+3                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  49a97f9b6dba30d9f445da803e06e9b3f555cafb  19.0.0-1-g49a97f9+3                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
log                       03d53ef8083cf25d560524726eea15af535ff53a  19.0.0+9                                 boost,log4cxx,base,pybind11,python,sconsUtils,utils
astro_metadata_translator b976306e3e6fb85232cc838a145475ae8f16ca31  0.1.0-10-gb976306+3                      scons,sconsUtils,pyyaml,astropy,daf_base
pex_config                334316010555276c9cabbb1c327e0fa5603644b3  19.0.0-7-g3343160                        numpy,pybind11,python,daf_base
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  19.0.0+9                                 daf_base,utils,pybind11,python
daf_persistence           a642a0f3acac1712afbe7f7a14f2a9a66ed9f7ca  19.0.0-3-ga642a0f                        log,pex_policy,astropy,pyyaml,pybind11,python
afw                       98bbc90494f1a4d7d7df913064fb0b238e029433  19.0.0-16-g98bbc9049                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
ctrl_orca                 36382b0fdec280e89d3ae8aa1e7c3f4941d831a3  19.0.0-1-g36382b0+15                     utils,pex_config,daf_persistence,log
shapelet                  20d9b18fc4035c479378fae07027228830a3b27f  19.0.0-1-g20d9b18+27                     afw,numpy,scons,sconsUtils,pybind11,geom,scipy
ctrl_execute              7fa7663e7155b3eff9f506bb5735a8204170633b  19.0.0-1-g7fa7663+15                     ctrl_orca,pex_config,utils
display_firefly           8c57eb963c0c17ac75b2466a93c44ca8b330b821  19.0.0-1-g8c57eb9+27                     afw,geom,log,firefly_client
dax_apdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  19.0.0-1-ge272bc4+27                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
display_matplotlib        ff6972b4a087e47eb23ec3997501d0203d232ab3  19.0.0-2-gff6972b+11                     afw,matplotlib
daf_butler                0d955ba49ed217ef06149c6895d9dab3d95cac66  19.0.0-54-g0d955ba4                      astropy,sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
cbp                       258cb4289da728143cb7f62a9b2bdd76c72a05e1  master-g258cb4289d+6                     numpy,geom,sphgeom,afw
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  18.0.0+71                                afw,xpa,pybind11
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0+45                                ctrl_execute
pipe_base                 9c22e3c4fa36d3d32ead105d86b838dc74252940  19.0.0-17-g9c22e3c+2                     daf_butler,daf_persistence,log,pex_config,utils,afw
coadd_utils               efe1d0da3a5767432c665339311a179f8b65e26e  19.0.0-1-gefe1d0d+42                     afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  19.0.0+60                                numpy,sphgeom,geom,afw,daf_butler,healpy
ctrl_mpexec               f05e31eb47976538cd9c1c09f828b6eebb669549  19.0.0-12-gf05e31e+13                    daf_butler,log,pex_config,pipe_base
verify                    a3fec043f1a9aefc2d46b994bceef8e3a673ddbd  19.0.0-11-ga3fec04+10                    astropy,pyyaml,numpy,sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
meas_base                 28bbdb8f0dbed1fc37582c37a462b26b4387f365  19.0.0-6-g28bbdb8                        utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape 9a028c0f4ac50743c0f674f595a0f16a413fd114  19.0.0-1-g9a028c0+6                      scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions,geom
ctrl_pool                 260436e5942073d83ef12ecad5cbacc21e5167e5  19.0.0-2-g260436e+46                     daf_persistence,pipe_base,log,utils,mpi4py
obs_base                  6423accfaabbba74547b39551a0c34789204e438  19.0.0-46-g6423acc                       daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
obs_test                  0d9f9cdec7c2b7ed88f58b6045ae5cb9eaa55dd0  19.0.0-2-g0d9f9cd+66                     afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
meas_algorithms           983d7abd4407e6d2fade9ce3115f9a1333178ef4  19.0.0-14-g983d7abd                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pipe_base,scons,sconsUtils,utils,pybind11
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  19.0.0+69                                obs_test
meas_modelfit             db4f20199de6abfb3a09b8252174f8fdd4a4e077  19.0.0-4-gdb4f201+7                      afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,geom,matplotlib
meas_deblender            361aba807ea06ff3b2f842e290ae7899bab5c4a3  19.0.0-2-g361aba8+7                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib,testdata_deblender
ap_association            3bacc890391eb74e41423ee911ac1cb0251bacd8  19.0.0-16-g3bacc89                       afw,meas_algorithms,pex_config,pipe_base,dax_apdb,verify,numpy,scipy
meas_extensions_photometryKron fbf354599b3b466ee94fe2e05b7b6194b604b078  19.0.0+71                                meas_base,pybind11,meas_algorithms
ip_isr                    2c901cef234054a3c96cdc26783353f2f2f00ba3  19.0.0-18-g2c901ce+2                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  19.0.0+71                                meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
obs_ctio0m9               a2826f2ea91c6984f69b2f35678445b7249f50bd  19.0.0+77                                afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
