# product                 SHA1                                      Version                       
BUILD=b3882
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
pytest                    a5ae9e382c8129ee4ee1865e983deefe87208c80  3.6.2.lsst1                              python
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+3                            python
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1+3                                  python
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+10                                 python,pytest
sqlalchemy                17feb0b4fc40b855a9837d92f0866c50f1b56d0e  1.2.2+2                                  python
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+3                                 python
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
astropy                   4d079c1f2ee2e98c7771a0c61b15ffd17e211257  2.0.1+2                                  python
boost                     c95036e05c29f825c366ecaa2ca50ab59fde8aca  1.68                                     python
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1                                    python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+2                                  python
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+4                                  python
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+1                                  python,pytest,python_coverage
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+2                              python,pytest
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+3                             cfitsio
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+3                                  python
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1+2                                 python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+4                            python
firefly_client            d3d76961fa68ca2dfdca85101ba4eace277ef338  lsst-dev-gd3d76961fa                     ws4py,python_future
pyflakes                  2c8b201b94934f7fa7a3c7bff3d39731a7ac61aa  1.6.0+2                                  python
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+1                            python
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+10                                 python,pytest
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2                             python,numpy,pykg_config,cfitsio,astropy
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+6                                  python,mpi
coord                     7309b208a04995ce3040490ec06eddee9bff6541  1.0.5.lsst2                              python,numpy,python_future
esutil                    dae48e722a28e0cf9585e2edafef9b520103e70f  0.6.2.5.lsst2                            python,numpy
pyyaml                    3bcd4dccc5b99536f1d50e1a9026f982f74cb206  3.13                                     python,libyaml
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+7                            python,numpy
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2+2                                  python,numpy
ndarray                   4efe0d171c211d5e266ddab6bcdee6b34f401e4f  1.5.2                                    boost,python,numpy,eigen,pybind11,fftw
flake8                    8f62c4f539d1d614f4c6808ce30f44e385ab8df9  3.5.0.lsst1                              python,python_mccabe,pycodestyle,pyflakes
treecorr                  2722dd9d8f0cb5c3df05f51e0f83eb751e6b0903  3.2.3.lsst3+3                            numpy,pyyaml
pytest_flake8             e2c92a0aabc36f4155e42864a5e8d0e70f7444d9  1.0.1.lsst1                              python,pytest,flake8
galsim                    44d07677ff03b7dc52383c24bb2d86ed8a8f04ea  2.0.7.lsst2+1                            scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb                     numpy,scipy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+8                                  python,numpy,scipy
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+9                     cfitsio,wcslib,gsl,numpy
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+2                           python,pytest,pytest_forked,python_execnet
pep8_naming               26693fcbc65f3b263b3efab1fd1467def49ee270  0.7.0.lsst1                              python,flake8
scarlet                   fdfbe1c24037acfb2a9f7f87f3f505e4df92f041  lsst-dev-gfdfbe1c240+2                   pybind11,scipy,numpy,eigen,proxmin
sconsUtils                645024f8d6999e95430e2b8a70e13100b69ad26f  16.0-13-g645024f                         scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
base                      1e9226ddb3de0ac70b205516349a4620f54ceb41  16.0-5-g1e9226d+3                        sconsUtils,pybind11,python,doxygen
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+13                                  gsl,sconsUtils,fftw
astshim                   0febb12f172f6aa92958d4a456aa3fc7795f3087  16.0-2-g0febb12+16                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+49                               sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+53                    scons,sconsUtils
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf+12                       sconsUtils
pex_exceptions            a3eb7471d14be2321ba7c432ab41031f935d22dc  16.0-4-ga3eb747+5                        base,boost,pybind11,python
verify_metrics            16e3d1ca4a635d3a35cf7e63de994d8ed592e1fc  16.0-2-g16e3d1c+12                       sconsUtils
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+15                       base,sconsUtils,pybind11,doxygen
utils                     80874fd462647a1ac542bacc468d0381d7ca750d  16.0-13-g80874fd+2                       base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
daf_base                  175855221afc733bf02d18b4a84f927a88551116  16.0-10-g1758552                         utils,pex_exceptions,pybind11,python,numpy,pyyaml
log                       ce273f51342984d75b2b47da0de60efb5eb2c326  16.0-1-gce273f5+20                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
astro_metadata_translator 80ce5686c201ecab9e643b0a9c0b0810a967efb0  master-g80ce5686c2                       scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                404ea43d43b00bc6d085da84f02580eb1ddd4c69  16.0-3-g404ea43+13                       daf_base,utils,pybind11,python
daf_persistence           52c50f752644eaac737cad9d38f4d8cd436b032e  16.0-9-g52c50f7                          log,pex_policy,astropy,pyyaml,pybind11,python
geom                      569485f2dc78557c02b5c33cbef8c94e9ff2b826  16.0-12-g569485f+3                       boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
pex_config                d0f12351bd71195161ff13252898d5f6c9fc2d09  16.0-5-gd0f1235+10                       daf_base,pex_policy,numpy,utils,pybind11,python
