# product                 SHA1                                      Version                       
BUILD=b6826
afwdata                   cfa8984a65037e295ce6fe408a3be9293fce394f  gcfa8984a65                              
alert_packet              6041bd2d669ab5422c3229f14af2a55004f4dd8a  g6041bd2d66                              
ap_verify_testdata        775aa6fb6996006ce56a4e701b692231db1a408c  g775aa6fb69                              
fgcm                      0e55f264b176939b4f67fc20004d5a4d6e543f03  g0e55f264b1                              
gbdes                     aa71a13f5dd20618121e0b1e6fe2da28c007c902  gaa71a13f5d                              
kht                       afcb7142decdb77911b08be3ee495256b2f19ed3  gafcb7142de                              
obs_decam_data            9eeeb5e1744bf8adbf537d8090ce4329e9927f2a  g9eeeb5e174                              
obs_lsst_data             5736ae6652b7467a03c746298b8b18c0a5190b22  g5736ae6652                              
obs_subaru_data           7ff78db35487d4e684a72e349abc7204559ea87b  g7ff78db354                              
proxmin                   33b4157f2516bd8c00926329f87583cee3ef3f95  g33b4157f25                              
sconsUtils                80c3e6a29ff02c838c6144038631f523d98d6f50  g80c3e6a29f                              
sdm_schemas               679c361543d1b76ab008c8184b92040e4eb41c7e  g679c361543                              
spectractor               537c14d49160a3d29097f0b389719a456e1e8f9b  g537c14d491                              
testdata_cfht             6f12da9c6fde087ee76ca752d64ee876b6ca1548  g6f12da9c6f                              
testdata_deblender        87fb46585bb0ba968cb39ae1ee510fef5b1869f8  g87fb46585b                              
testdata_decam            083a80d7f211fc8ea4ad915867463b4e7a63411f  g083a80d7f2                              
testdata_jointcal         1e5d8b4631537dafa6e808913a62581324ff8899  g1e5d8b4631                              
testdata_subaru           d0a08a8fc3033106dbb104609bb2e4289d052be9  gd0a08a8fc3                              
base                      98ffbb4407f2dc97b436cf63f7667fbd88b0ae49  g98ffbb4407+81bc2a20b4                   sconsUtils
dustmaps_cachedata        bb0a0c949e73ad2289341f9e0bf912c1e810fe45  gbb0a0c949e+81bc2a20b4                   sconsUtils
felis                     5a39ba60c63a219dad1c75e6ee935871ad5d965a  g5a39ba60c6+81bc2a20b4                   sconsUtils
jointcal_cholmod          81a980c3ddbbca861c73ffb98bce1fd1a391b2d6  g81a980c3dd+81bc2a20b4                   sconsUtils
psfex                     c054bea0892ababffb88c428211580bce04c3dfc  gc054bea089+81bc2a20b4                   sconsUtils
scarlet                   63ff1f842d17172d0fc78673342dfc53c01cae79  g63ff1f842d+4083830bf8                   proxmin
sphgeom                   6ae5381d9b158598f75b1bda8d50c258f4f6783a  g6ae5381d9b+81bc2a20b4                   sconsUtils
utils                     3bf5ff22bb7a954a5fcf8392c643c00ec672874c  g3bf5ff22bb+81bc2a20b4                   sconsUtils
verify_metrics            3c17f34f1563eee4677fb4ec33b578d00516d000  g3c17f34f15+81bc2a20b4                   sconsUtils
daf_relation              8a20fa5453ac03bfd8e5dd4118d1e67b066af0fc  g8a20fa5453+e1da24fbab                   sconsUtils,utils
log                       1e7d6db67d9d2240757233e5c1e027713d3c69a6  g1e7d6db67d+e1da24fbab                   sconsUtils,utils
pex_exceptions            daeeff99f8728ee92fda84cdea39102f76477f23  gdaeeff99f8+0d8dbea60f                   base
resources                 24611a4c008280de8c8e397f8a91eb66cb93da3a  g24611a4c00+e1da24fbab                   sconsUtils,utils
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  g9d18589735+d445b4966c                   scarlet
