# product                 SHA1                                      Version                       
BUILD=b3044
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
jemalloc                  20ffad636e721dab2fb2e7b4e8a1266ef8f1188f  5.0.1.lsst1                              
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
starlink_ast              a9f9e994b6d85b3e1a5d3408f9831af77ecee394  lsst-dev-ga9f9e994b6                     
validation_data_decam     52ac2b0d78bd02deb995035945e2a5a3f3551516  master-g52ac2b0d78                       
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  13.0-2-gdd95a3b                          
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
lua                       da519a9056ff1866d790dd89bab2df80b1b4fe49  5.1.4.lsst1-2-gda519a9                   
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  13.0-1-gf61fcd2                          
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  master-g6f4b1f770b                       
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+2                                  mpich
xrootd                    25125824199811b66bc4a55f697c76cfce3102ce  lsst-dev-g2512582419                     
astropy                   47e80e26de26053521c607df82a3a4512572362b  0.0.1.lsst2+2                            python
libevent                  ab04e34f14107106ac2101d52a84488f0939590f  2.0.16.lsst2                             
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  13.0-1-g2bee09e                          
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+8                            python,mariadbclient
mariadb                   23e122a4130db21d8d4baf22f24a174f5576aeb6  10.1.21.lsst1                            
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
numpy                     4dbe59ce5fcdb41375339587e82cbad825a3d998  0.0.4                                    python
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
esutil                    49b0a12ac880c1b059d28c9f752fed0630ed2a12  0.6.0+2                                  python,numpy
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1                               cfitsio
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1                                    python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+1                            python
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+2                                  python,mpi
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+2                     cfitsio,wcslib,gsl,numpy
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
python_psutil             11e66a19cedecba67caa0c08675b630e3806927a  4.1.0+3                                  python
mysqlproxy                072f2a0443c0a4863ba0a70db40908d834f5601f  0.8.5-1-g072f2a0+1                       libevent,lua,mariadb
python_execnet            0a0a1cc347df6e3644b5663493c7f8e101b827d9  1.4.1                                    python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0                                   python
scisql                    a1d17d67429770fa7e175ed2af43234e9570d689  0.3.8.lsst1                              mariadb,python_mysqlclient,python
flask                     f44895ae1750d69ddd6116721d00ec24477cf064  0.12                                     python
scons                     28a8b6786a075b8eb74852989adbc6d2b6859815  2.5.0.lsst2+1                            python
pytest                    5d2f356ca06299b8765f94a9b0a1c894e6469515  3.2.0                                    python
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+1                           python
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+1                             python
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+2                            python_d2to1
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+3                            python
