# product                 SHA1                                      Version                       
BUILD=b2858
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
testdata_cfht             da9d9a053e8be00441cf7bd15203a23395506a7b  13.0                                     
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1                               cfitsio
testdata_decam            3c1dee72c4615bf26373ecc86097233c0c906001  13.0                                     
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
testdata_subaru           2098685e18f8505f499d17d3c4921cb918f8623d  13.0                                     
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+1                           python
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
activemqcpp               44a13ddf9c71f92da39be477522e24f994e84c92  3.9.0.lsst2+3                            apr,doxygen
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+3                            python
python_future             a5bd52eb6d89c313fa446064fa90cf7d21bdd214  0.15.2+2                                 python
python_psutil             11e66a19cedecba67caa0c08675b630e3806927a  4.1.0+3                                  python
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+2                                  mpich
astropy                   47e80e26de26053521c607df82a3a4512572362b  0.0.1.lsst2+2                            python
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+8                            python,mariadbclient
pyyaml                    cb5cda908acb5a4fe493b618f9519bb26f7b1275  3.11.lsst1+3                             python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+1                                  python
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+1                             python
numpy                     c1bdd73fbef02df5b68128b4c309be514756acb9  0.0.3+1                                  python
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+1                     cfitsio,wcslib,gsl,numpy
matplotlib                d202e908f28541deeeb861c2b656d9d3f900db10  0.0.4                                    python,numpy
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+3                            python,numpy
ndarray                   90f134a1b6d5b528ae64c106ffd1df14d6445ff6  1.3.0                                    boost,python,numpy,eigen,swig,fftw
esutil                    49b0a12ac880c1b059d28c9f752fed0630ed2a12  0.6.0+1                                  python,numpy
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+2                            python_d2to1
scons                     28a8b6786a075b8eb74852989adbc6d2b6859815  2.5.0.lsst2+1                            python
sconsUtils                cefdd062cedd2a5d44feb4ca53b7a11a5edb2658  13.0                                     scons,doxygen
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+2                                  python,mpi
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+4                                  python,numpy,scipy
base                      f64943f217ab7411e7cf31c6a23f5bcfca1c2a24  13.0                                     sconsUtils,swig,python_future,doxygen
log                       c2189d7eb5f4d0c306e1061ea52676eb61a3d2e6  13.0                                     boost,log4cxx,base,sconsUtils
afwdata                   5f41616c3e012c71aab395c67e5bba3e1ed9ee34  13.0                                     sconsUtils
pex_exceptions            4e7a85b49dec26ae9b1133c8a7bdefaebc9802f9  13.0                                     base,boost,swig,python_future
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+7                                  numpy,python_d2to1,stsci_distutils
psfex                     eb1eb6777f0e263a159a05c00c0b66a739f86688  13.0                                     gsl,sconsUtils,fftw
tmv                       873defe1a7d897bba1d443737e273f56c4412815  0.73+5                                   scons
healpy                    d4cac0b74d707cc97b912fa01d6d2c0d9c9eb947  1.8.1.lsst2+5                            python,numpy,pykg_config,cfitsio,pyfits
lsst                      bd985c9d8da8809806c0bf57cd362a2c7836e29f  13.0                                     sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+89                                  sconsUtils
utils                     648ee80f2540d904caaf1a8c80e884751a12657c  13.0                                     base,pex_exceptions,boost,numpy,python_psutil,python_future
galsim                    eec876ab7d823c8030c962faca5a80d90eb19ebf  1.4.1.lsst3                              numpy,pyfits,python_future,boost,fftw,tmv,astropy
db                        ccab445e4b7272205e619fa3247b47d443d7f2cb  13.0                                     log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  13.0                                     sconsUtils,python_future,utils
daf_base                  57f6835a11fc5dd7a95fb6619b59cebb09e6e7b4  13.0                                     utils,pex_exceptions,numpy,python_future
pex_policy                16c0db7882e527591f9a079a0847e388c5d85d70  13.0                                     daf_base,utils,python_future
ctrl_events               3db6b758b55736ef92035e789ac3871b9cc2aa9c  12.1+21                                  python_future,boost,activemqcpp,utils,base,daf_base,pex_exceptions,log4cxx,log,swig,doxygen
pex_config                f46015e364e89e27ee1517732552381871c89589  13.0                                     daf_base,pex_policy,numpy,utils,python_future
daf_persistence           90e240dd3941991f20d46c6bb942f45cb44a7a2a  13.0                                     log,mariadbclient,pex_policy,astropy,pyyaml
ctrl_orca                 ff2ba7ceda7ae475116af6ef9d09fad6b37c1f52  13.0                                     python_future,utils,pex_policy,pex_config,daf_persistence,ctrl_events,log
cat                       512a8fa0df208c2022752cc96e86060a8c1bd4b8  13.0                                     python,mariadbclient,python_mysqlclient,db,log,boost,pex_policy,daf_base,daf_persistence,utils,pex_exceptions,python_future
afw                       b99f2ce41cc13f01bb7196b98d6c6a301992678c  13.0                                     daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pyfits,matplotlib,afwdata
