# product                 SHA1                                      Version                       
BUILD=b3697
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
pybind11                  bfe630dada77c6421032137d69208da9379e5e62  2.1.1.lsst2                              
eigen                     25515ab5da2f7f7c26847d0b79d57eb98b0f5186  3.2.10                                   
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  16.0                                     
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  16.0                                     
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  16.0                                     
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
doxygen                   75bf1144ea307806d65ecc1709226ca58866c1c4  1.8.13.lsst2                             
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
sims_skybrightness_data   f6dd53da85a24c7155bc28ab7476cf46ce1f4416  2017.05.05                               
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+4                                  python
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1+2                                 python
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+3                            python
tmv                       906021b27ebd1b5f39ecc7272aeb34c4215fb358  0.73.lsst2+2                             scons
pymssql                   02c450b095cda9e17f5425d9d05c4483169d95fc  2.1.1+8                                  python,freetds
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+2                                  python
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+2                             cfitsio
pyflakes                  2c8b201b94934f7fa7a3c7bff3d39731a7ac61aa  1.6.0+2                                  python
sims_maps                 f32f3a56d51cbbf8e93e73727db622287737e96d  2017.05.08-1-gf32f3a5+3                  numpy,python
boost                     ed2ba0af23c00eff59b44431769b6fc8ec719852  1.66.0+2                                 python
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2+2                                  python,numpy
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+3                                  python
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+4                           python
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+1                            python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+3                                 python
astropy                   4d079c1f2ee2e98c7771a0c61b15ffd17e211257  2.0.1+2                                  python
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
ephem                     8f91afc3b39e4ab423d9b85ca9a41588741a2823  3.7.6.0+2                                python
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1                                    python
palpy                     8f3fcdb176c79aced1953296187ed79cdca82426  1.8.1+3                                  numpy,python
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
sqlalchemy                17feb0b4fc40b855a9837d92f0866c50f1b56d0e  1.2.2+2                                  python
sncosmo                   5e70e902bc295405c8a0a1fde4e916602e8ca550  12.0-1-g5e70e90+5                        python,numpy,astropy
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1+3                                  python
esutil                    7cb0cf1c2fbb75c11a1c3c033fc4fa454b6b7470  0.6.2.5.lsst1+2                          python,numpy
ndarray                   b3fb59ae4e34a86aa2a1cfb81b1f5af2660c9842  1.5.1-1-gb3fb59a                         boost,python,numpy,eigen,pybind11,fftw
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+7                            python,numpy
pytest                    9c1788074e2c263ea418816d88f1c787c77946a7  3.2.0.lsst4+1                            python
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+3                                  python
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+6                           python,numpy,pykg_config,cfitsio,astropy
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst2+2                             python,libyaml
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+4                            python
firefly_client            ce6eb6a3994d0f75e63076713eef331dccee4c23  lsst-dev-gce6eb6a399                     ws4py,python_future
