# product                 SHA1                                      Version                       
BUILD=b4695
throughputs               58f0f273b9c8458202f8d8061a4542c3c9f0ed75  2019.07.02-2-g58f0f27                    
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
obs_lsst_data             ac8c27c4c23e16d1810f0071737ba296776fa35f  19.0.0-1-gac8c27c                        
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
sims_maps                 ac432e6d8e464814e2ab474385690610da04b01d  2017.05.08-4-gac432e6                    numpy,python
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
pymssql                   02c450b095cda9e17f5425d9d05c4483169d95fc  2.1.1+10                                 python,freetds
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
ephem                     8f91afc3b39e4ab423d9b85ca9a41588741a2823  3.7.6.0+4                                python
python_mccabe             86ed08f574f8482e562f95e461fcf8a3ec561f00  0.6.1-1-g86ed08f                         python
astropy_helpers           c974185938af36d23b47ac12165a5256c8950145  3.0.2.lsst+3                             python,numpy
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+2                            python,numpy,eigen
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
palpy                     8f3fcdb176c79aced1953296187ed79cdca82426  1.8.1+6                                  numpy,python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
astropy                   5006c745bb1dd6a583acc34b11ea3986ca462b95  3.1.2.lsst2                              python
pytest_session2file       c58ee1678f3d857602a6af30cc331913e41f667b  0.1.9-1-gc58ee16                         python
sncosmo                   32d22753c0cc8cf28a27a23f44cfb86ad64e46b3  1.3.0.lsst2+4                            python,numpy,astropy,astropy_helpers
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
proxmin                   efd6ccc7f71efbdf2a095564ef82b222f0b31d8c  lsst-dev-gefd6ccc7f7                     numpy,scipy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+5                           python,numpy,pykg_config,cfitsio,astropy
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3+2                                  boost,python,numpy,eigen,pybind11,fftw
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst+2                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+3                                  python,python_mccabe,pycodestyle,pyflakes
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
pytest_flake8             8dd8c06520ce9a769d5fabb76d0b77e7d8d867c5  1.0.4-1-g8dd8c06                         python,flake8
scarlet                   5b72d4495c8d369d207a9c93f8e53ed665dbcc38  lsst-dev-g5b72d4495c                     pybind11,scipy,numpy,eigen,proxmin,autograd
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+3                                  python,flake8
sconsUtils                42516564a984c28774fbfeac9483dd7668ac985a  19.0.0                                   scons,pytest_flake8,pep8_naming,pytest_session2file,doxygen
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+5                        sconsUtils
base                      9675b69d53decfd7a17e052ec242fb5a4253b6ae  19.0.0-2-g9675b69                        sconsUtils,pybind11,python,doxygen
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  19.0.0+2                                 base,boost,pybind11,python
sphgeom                   5549ca46ee7ac2727962caa0b578589045194d67  19.0.0-1-g5549ca4+1                      base,sconsUtils,pybind11,doxygen
astshim                   a72da6bbfa9d1fec5e5d87d1aa560234f2b95958  19.0.0-1-ga72da6b                        sconsUtils,ndarray,numpy,starlink_ast,pybind11
utils                     686a884ec18b5a6267ea32289b315f2d3bb31c30  19.0.0-7-g686a884+1                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f                        sconsUtils
sims_utils                2d90f6a012f1193fc3d396e0c162ad7391daca7e  2.13.0.sims-39-g2d90f6a+7                utils,python,python_future,palpy,astropy,healpy,sims_data
log                       03d53ef8083cf25d560524726eea15af535ff53a  19.0.0+6                                 boost,log4cxx,base,pybind11,python,sconsUtils,utils
sims_survey_fields        1c3a41230679c4d6aa264953f1aaa77246c12316  2.6.0.sims+39                            numpy,python,utils
daf_base                  49a97f9b6dba30d9f445da803e06e9b3f555cafb  19.0.0-1-g49a97f9                        utils,pex_exceptions,pybind11,python,numpy,pyyaml
ts_dateloc                60a36c8d46cf5e93ce99006be98fed71e8f8e7ad  master-g60a36c8d46+33                    python,sims_utils,utils
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  19.0.0+6                                 daf_base,utils,pybind11,python
geom                      de8e5e3b60ee950df6a6c88af15d8ccb4d53eb24  19.0.0-2-gde8e5e3                        boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
sims_almanac              420e492ac3a1a4d7de5887c5ccf2ca6316899760  master-g420e492ac3+10                    base,numpy,astropy,scipy,utils
astro_metadata_translator b976306e3e6fb85232cc838a145475ae8f16ca31  0.1.0-10-gb976306                        scons,sconsUtils,pyyaml,astropy,daf_base
pex_config                c4f6e04fdae3c56f2a8640952cbdb4bb4742a63a  19.0.0-3-gc4f6e04+3                      numpy,pybind11,python,daf_base,pex_policy
sims_photUtils            60d0775ed284616510941a071a10ce69b6f69020  2.13.0.sims-1-g60d0775+26                utils,sims_utils,python,throughputs,astropy
ts_observatory_model      3d307a5f454a4f538560db017b334a3e1e0295e6  master-g3d307a5f45+33                    python,ts_dateloc,utils
sims_skybrightness        79b6a57ccdcf91b82a7a81a1655ed54c295205f6  2.13.0.sims-2-g79b6a57+2                 base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
daf_persistence           6fe20d0c02ce2664b5d4b51dc34d34fc1ec7fdb0  19.0.0-1-g6fe20d0+5                      log,pex_policy,astropy,pyyaml,pybind11,python
sims_skybrightness_pre    cc59254c51bddf65254730b189e65ffeaf49d6a9  2.13.0.sims-8-gcc59254+11                numpy,healpy,sims_utils,sims_survey_fields,ephem,sims_skybrightness
sims_catalogs             0316a325b5cd6f608e9b6639058a2c75475299cf  2.13.0.sims-5-g0316a32+7                 daf_persistence,pymssql,python,sims_utils,sqlalchemy,utils
sims_seeingModel          a4bf72ea443f605edd1ad02490135ddf74d679a3  master-ga4bf72ea44+2                     utils,pex_config,sims_utils,throughputs,sims_photUtils
sims_cloudModel           e3724df5295e741076d6596dd9a15e4ab9fb1348  master-ge3724df529+2                     utils,pex_config,sims_utils
afw                       3888aff521a4ecd3305599db38cb98fb2220abf1  19.0.0-11-g3888aff52                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
dax_apdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  19.0.0-1-ge272bc4+14                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
sims_downtimeModel        55f72efa65e9793de772e7accf868fc2f569c778  master-g55f72efa65+2                     utils,pex_config
sims_featureScheduler     c080e5df1cd5e06611dbc63db43e3a091724d7e5  master-gc080e5df1c+2                     base,numpy,sims_utils,sims_skybrightness_pre,scipy,healpy,astropy,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac,ts_observatory_model
daf_butler                22479a49519328f3ff58ccd81a2f3076ce17ea1b  19.0.0-20-g22479a49                      sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  19.0.0+24                                numpy,sphgeom,geom,afw,daf_butler,healpy
pipe_base                 b6b8b0ad3746dc8c46758137f643655310a680ec  19.0.0-6-gb6b8b0a+9                      daf_butler,daf_persistence,log,pex_config,utils,afw
obs_base                  6de566f32d0b14507285929a4ba122a9edb5339b  19.0.0-20-g6de566f+1                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    8226a54a130b8b0fa9c77b778b084d3a62e78f2d  19.0.0-10-g8226a54+14                    astropy,pyyaml,numpy,sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
obs_test                  0d9f9cdec7c2b7ed88f58b6045ae5cb9eaa55dd0  19.0.0-2-g0d9f9cd+25                     afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
coadd_utils               efe1d0da3a5767432c665339311a179f8b65e26e  19.0.0-1-gefe1d0d+5                      afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 dc0e4a7814c461759b75d7b8f3ecaf73893b5508  19.0.0-1-gdc0e4a7+23                     utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
