# product                 SHA1                                      Version                       
BUILD=b3504
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
validation_data_decam     1cc1f66a895e1d76b6dd70bf9e358d075736737a  master-g1cc1f66a89                       
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+2                             cfitsio
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
starlink_ast              eaa6eadbc4d4141dce2674cfea4f7dedb46f4930  lsst-dev-geaa6eadbc4                     
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
sqlalchemy                17feb0b4fc40b855a9837d92f0866c50f1b56d0e  1.2.2                                    python
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
boost                     ed2ba0af23c00eff59b44431769b6fc8ec719852  1.66.0                                   python
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2                                    python
astropy                   4d079c1f2ee2e98c7771a0c61b15ffd17e211257  2.0.1                                    python
pytest                    78ee25278d11e66ff87b4e1f3b5b95fd52177067  3.2.0.lsst2                              python
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+10                           python,mariadbclient
pybind11                  bfe630dada77c6421032137d69208da9379e5e62  2.1.1-1-gbfe630d                         
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
pytest_forked             9b0f4b45bfa2a81a3569b7a8be29e73ffd59d3ac  0.2.lsst2                                python,pytest
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+1                            python
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1+1                                  python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3                                    python
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1                                   python
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+2                           python
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+3                                  python,pytest
pyflakes                  2c8b201b94934f7fa7a3c7bff3d39731a7ac61aa  1.6.0                                    python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+1                                 python
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+2                                  python
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+1                                  python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+2                            python
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2                                    python,numpy
python_execnet            4764a4fea9a1ce3269aac78e49c7d6e6d5ad3091  1.4.1.lsst2                              python
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+4                                  python,mpi
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst2                               python,libyaml
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+6                     cfitsio,wcslib,gsl,numpy
tmv                       906021b27ebd1b5f39ecc7272aeb34c4215fb358  0.73.lsst2                               scons
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+5                            python,numpy
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+3                                  python,pytest
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+3                            python_d2to1
ndarray                   00fdefa8c4a2a13abb47ac2ead40c601a647690a  1.4.2lsst1                               boost,python,numpy,eigen,pybind11,fftw
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+2                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
esutil                    7cb0cf1c2fbb75c11a1c3c033fc4fa454b6b7470  0.6.2.5.lsst1                            python,numpy
firefly_client            0232f24481837d34903335221c910df578a3bcff  lsst-dev-g0232f24481                     ws4py,python_future
treecorr                  2722dd9d8f0cb5c3df05f51e0f83eb751e6b0903  3.2.3.lsst2-1-g2722dd9+2                 numpy,pyyaml
pytest_xdist              65af3e3ef3b42bb0eff575da4ee79c9b0fce4640  1.20.1.lsst2                             python,pytest,pytest_forked,python_execnet
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+4                           python,numpy,pykg_config,cfitsio,astropy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+6                                  python,numpy,scipy
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+9                                  numpy,python_d2to1,stsci_distutils
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+2                                  python,pytest,flake8
galsim                    3698eea5a6df285a6a020fcbe6ef9d67c4751d30  1.5.1.lsst2                              numpy,pyfits,python_future,boost,fftw,tmv,astropy
sconsUtils                79b7e05cbca0b73cf005b9d4af46a5ccd14cc537  14.0-15-g79b7e05                         scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
base                      7f6dd6b394bba8c4305053c87ee61f1a266b4dd6  14.0-8-g7f6dd6b+7                        sconsUtils,pybind11,python,python_future,doxygen
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+11                                  sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+23                               sconsUtils
validate_base             24db930f3a0533e7a26decaa2309882068135602  master-g24db930f3a+22                    python,python_future,pyyaml,numpy,astropy,sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+27                    scons,sconsUtils
astshim                   77a82f32a29f90ae1c6369a556c482183601c9c9  14.0-18-g77a82f3                         sconsUtils,ndarray,numpy,starlink_ast,pybind11
verify_metrics            586ef34a9f46e06b52312880c11d2ced006e8236  14.0-2-g586ef34+5                        sconsUtils
psfex                     823d0e4aa968bf7d3f0195271bc17619d4c16642  14.0-1-g823d0e4+6                        gsl,sconsUtils,fftw
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+11                       base,boost,pybind11,python,python_future
utils                     11010eb972b70ffd02fe4d9203379c942b0908d3  14.0-9-g11010eb+2                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+12                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  744ff5f0914b46439ccfb6ee4ac298d27cfe019d  14.0-5-g744ff5f+4                        utils,pex_exceptions,pybind11,python,numpy,python_future
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+14                       sconsUtils,python_future,utils
verify                    444b9f07dc7e54b1dfb11c8e191b1c4d98f3dd23  14.0-10-g444b9f0+4                       python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+17                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
cat                       93413770b8c8478b01fd4e720fad22c161e0341e  14.0-1-g9341377+2                        python,mariadbclient,db,sqlalchemy,utils,python_future
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+16                       daf_base,utils,python_future,pybind11,python
daf_persistence           87d16e85528293b748ddefadc3cbdfbf7d1983e5  14.0-14-g87d16e8+12                      log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
pex_config                e1f09d79f24f882ee6c7205d2b60acc9d23c9ab9  14.0-3-ge1f09d7                          daf_base,pex_policy,numpy,utils,python_future,pybind11,python
afw                       2e4184deec9163e6d299463aa664649c647c901a  14.0-54-g2e4184dee                       daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
ctrl_orca                 731862bdbdf17c63823be84e5cb821ccabb0f699  14.0-1-g731862b+2                        python_future,utils,pex_policy,pex_config,daf_persistence,log
