# product                 SHA1                                      Version                       
BUILD=b5059
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  20.0.0                                   
alert_packet              8277e36f1963996f6e53683c950757cc745aef10  master-g8277e36f19                       
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
fgcm                      b15be42c1cdf17db873bac48270535f2e50eb56f  lsst-dev-gb15be42c1c                     
firefly_client            508dc7262a76850e0095defb6fae06e0adb234e0  lsst-dev-g508dc7262a                     
obs_decam_data            7048e9c24cba5cc4530673ac24056a5b64b15268  20.0.0-1-g7048e9c                        
obs_lsst_data             3fe583d9b33dee90c653f44f2a4c5833261931ec  20.0.0-1-g3fe583d                        
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  20.0.0                                   
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                c4fbba5115c247242fa884bc828940457baae49a  20.0.0-1-gc4fbba5                        
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  20.0.0                                   
testdata_decam            47917b28e7eff24162f0ba898a02c9e606ef4a4f  20.0.0-2-g47917b2                        
testdata_jointcal         aafa04de12272748935336bc9c18f70618054d5d  20.0.0-2-gaafa04d                        
testdata_subaru           316d0cebfe4ba6035df57593a73b54c5a8fd0ac0  20.0.0-1-g316d0ce                        
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  20.0.0                                   
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  20.0.0                                   
astshim                   e74d1243ec454ae9114f78745dfbf1146f28f62e  20.0.0+f45b7d88f4                        sconsUtils
base                      4a2362f47cddbeaa6169bf4d124e2e16ced6c532  20.0.0-4-g4a2362f+f45b7d88f4             sconsUtils
jointcal_cholmod          07e7fe16037819979811ebb0c62ce864391a9f58  master-g07e7fe1603+f45b7d88f4            sconsUtils
psfex                     a90eac9742e8c7f0280a06fc7e59f4acf6af86b1  19.0.0-3-ga90eac9+f45b7d88f4             sconsUtils
scarlet                   2f5a530ca1a6410541508cfafbed205ade84fb27  lsst-dev-g2f5a530ca1+f31336177f          proxmin
sdm_schemas               5e0d484223c14309dd7ccdfec640a92147e33fac  15.0-17-g5e0d484+f45b7d88f4              sconsUtils
sphgeom                   d2e950ecf569e4b7d7d19eed9ff2a58315588f03  20.0.0-3-gd2e950e+f45b7d88f4             sconsUtils
verify_metrics            5e4bdddfa2ce1dd3d72090d0c3cac7db00b297a5  20.0.0-2-g5e4bddd+f45b7d88f4             sconsUtils
pex_exceptions            5a8b32307a533f330184baf2541fdc992f91826a  20.0.0+8558dd3f48                        base
utils                     498fb603e4a57d6a3f78bd97224dd37f2a7ef26c  20.0.0-1-g498fb60+ff88705a28             base,pex_exceptions
daf_base                  8a53f90e84ecadcf3f7b8af978e0334a2b60ae93  20.0.0-1-g8a53f90+2817c06967             utils,pex_exceptions
daf_butler                ad6c3996bd25265dd17148bec46f541bbe22238b  19.0.0-137-gad6c3996+3bc057fb2a          sphgeom,sconsUtils,utils
geom                      ec03fae3b23bb6128565d447d3995199009b66ea  20.0.0-2-gec03fae+3bc057fb2a             sconsUtils,sphgeom,pex_exceptions,utils
log                       d1c87d7f0f5a2c9ef125d15c199cea59e2a3ada4  20.0.0-1-gd1c87d7+2817c06967             base,sconsUtils,utils
astro_metadata_translator 03ebef752875f9f588f645166a0ddca9ba410c91  0.1.0-12-g03ebef7+34a42eae2c             sconsUtils,daf_base
pex_config                48a0200a5209fc7a150a6944e9ea4e437d4d2b57  20.0.0+34a42eae2c                        daf_base
pex_policy                3b2f90d2d5de21d5c31736b6a5652509379f35f3  20.0.0+34a42eae2c                        daf_base,utils
daf_persistence           bea9075146e63e413e218781ea1034888a172bcf  20.0.0+b2ea66fa67                        log,pex_policy
afw                       ac0d578b102e2034fbac907e956dff136dd01ace  20.0.0-5-gac0d578b1+6c871ee35c           daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
ctrl_orca                 a18918569f758cb2bbb1f2d69ddbb6439dc54a83  20.0.0+6c5214ef01                        utils,pex_config,daf_persistence,log
cbp                       e319b44137a96ff988209d041d710a369e64a734  20.0.0-1-ge319b44+dcf29472a8             geom,sphgeom,afw
ctrl_execute              637769e54ab186bbaaec5c6c47ce9bf1a4a4265f  20.0.0+e4c9c3fb8c                        ctrl_orca,pex_config,utils
dax_apdb                  253301aa6cef94a1860a0adc84002e26b2a6a1a1  20.0.0-1-g253301a+dcf29472a8             afw,pex_config,sconsUtils,sphgeom,utils
display_ds9               2b32d65e7ec24b526e9b433ec5d66a085732f01d  20.0.0+dcf29472a8                        afw
display_firefly           d6714190a066a65907e516477fe740967449ecd6  20.0.0+b290a576ab                        afw,geom,log,firefly_client
display_matplotlib        06f596319d54ed350da1ab9b6fa0a2e029695f90  20.0.0+dcf29472a8                        afw
pipe_base                 abd0d4c33db0992f45e4e0f814eee5646db85dde  20.0.0-9-gabd0d4c+0eaf4f30a3             daf_butler,daf_persistence,log,pex_config,utils,afw
shapelet                  cfc5f51f83a6add5a1b0b5929e4f97abf26e6c7d  20.0.0+dcf29472a8                        afw,sconsUtils,geom
skymap                    db27ee505c03d80a334c008de7c0c82ee17d59ac  20.0.0-1-gdb27ee5+0eaf4f30a3             sphgeom,geom,afw,daf_butler
coadd_utils               8227491f6708ddf234dd8f04c47401542adc7b18  20.0.0+4b2ba0aeb0                        afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
ctrl_platform_lsstvc      ae98d27b2fb3dd9155f1277a5584699a51fc26e4  20.0.0+3a0759f0f7                        ctrl_execute
ctrl_pool                 e404a01e6f1af9a754885946117f9ff954f82a6f  20.0.0+4b2ba0aeb0                        daf_persistence,pipe_base,log,utils
obs_base                  22bab1beba8a990b7817f2c80ad604ff8a3b1ed4  20.0.0-27-g22bab1b+60c4b1e1c0            daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    d0fabbe0078baf8ec01a76bec0f76413461d7f33  20.0.0-2-gd0fabbe+5a5b7f25d8             sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_mpexec               490e5f4c421476746b65dc5e7695a9b65c700138  20.0.0-10-g490e5f4+bac3f9e9a4            daf_butler,log,obs_base,pex_config,pipe_base
