# product                 SHA1                                      Version                       
BUILD=b4980
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  20.0.0                                   
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  20.0.0                                   
testdata_decam            47917b28e7eff24162f0ba898a02c9e606ef4a4f  20.0.0-2-g47917b2                        
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  20.0.0                                   
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  20.0.0                                   
firefly_client            ae83af3b70c29dfa908b8bf06ddb593195c6c16e  lsst-dev-gae83af3b70                     
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  20.0.0                                   
testdata_subaru           316d0cebfe4ba6035df57593a73b54c5a8fd0ac0  20.0.0-1-g316d0ce                        
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
obs_decam_data            7048e9c24cba5cc4530673ac24056a5b64b15268  20.0.0-1-g7048e9c                        
proxmin                   f3c77c137e9a1d4aec2327fe20a00b737a9bff47  lsst-dev-gf3c77c137e                     
alert_packet              af23745059b396c4fa398805c7f33fbfefba9a88  master-gaf23745059                       
sconsUtils                1276964a75b16dfc5742bc8cbd7332de4b1cf402  20.0.0                                   
testdata_jointcal         aafa04de12272748935336bc9c18f70618054d5d  20.0.0-2-gaafa04d                        
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  20.0.0                                   
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  20.0.0                                   sconsUtils
psfex                     a90eac9742e8c7f0280a06fc7e59f4acf6af86b1  19.0.0-3-ga90eac9+1                      sconsUtils
fgcm                      1707e9c10bd01419edc1bb73eca27017173629e1  lsst-dev-g1707e9c10b                     
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
scarlet                   516ae2b0c8129032cf9fe43679c1c27f293408ed  lsst-dev-g516ae2b0c8                     proxmin
astshim                   e74d1243ec454ae9114f78745dfbf1146f28f62e  20.0.0                                   sconsUtils
base                      082faa5fe967e37eaf3f5f7b66b34b56eaf7d6db  20.0.0-3-g082faa5                        sconsUtils
jointcal_cholmod          07e7fe16037819979811ebb0c62ce864391a9f58  master-g07e7fe1603+2                     sconsUtils
pex_exceptions            5a8b32307a533f330184baf2541fdc992f91826a  20.0.0+1                                 base
sphgeom                   8557e14f57db8e580d8fb7b02a3592c5a3096ea8  20.0.0+1                                 base,sconsUtils
utils                     920eed2ca375a5ab36af36a63d6bc2c3a1d03ef1  20.0.0+1                                 base,pex_exceptions
geom                      ec03fae3b23bb6128565d447d3995199009b66ea  20.0.0-2-gec03fae                        sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  8a53f90e84ecadcf3f7b8af978e0334a2b60ae93  20.0.0-1-g8a53f90                        utils,pex_exceptions
astro_metadata_translator 03ebef752875f9f588f645166a0ddca9ba410c91  0.1.0-12-g03ebef7+8                      sconsUtils,daf_base
log                       d1c87d7f0f5a2c9ef125d15c199cea59e2a3ada4  20.0.0-1-gd1c87d7                        base,sconsUtils,utils
daf_butler                0a1db0756ace93b93a32e257939b6427cfcadb53  19.0.0-113-g0a1db075                     sphgeom,sconsUtils,utils
pex_policy                3b2f90d2d5de21d5c31736b6a5652509379f35f3  20.0.0+2                                 daf_base,utils
pex_config                48a0200a5209fc7a150a6944e9ea4e437d4d2b57  20.0.0+2                                 daf_base
daf_persistence           bea9075146e63e413e218781ea1034888a172bcf  20.0.0+3                                 log,pex_policy
ctrl_orca                 a18918569f758cb2bbb1f2d69ddbb6439dc54a83  20.0.0+3                                 utils,pex_config,daf_persistence,log
afw                       de602ef961473a48aa591678ed0aaa87fdc2038f  20.0.0-4-gde602ef96+1                    daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
display_matplotlib        06f596319d54ed350da1ab9b6fa0a2e029695f90  20.0.0+3                                 afw
display_firefly           d6714190a066a65907e516477fe740967449ecd6  20.0.0+3                                 afw,geom,log,firefly_client
cbp                       e319b44137a96ff988209d041d710a369e64a734  20.0.0-1-ge319b44+2                      geom,sphgeom,afw
ctrl_execute              637769e54ab186bbaaec5c6c47ce9bf1a4a4265f  20.0.0+3                                 ctrl_orca,pex_config,utils
shapelet                  cfc5f51f83a6add5a1b0b5929e4f97abf26e6c7d  20.0.0+3                                 afw,sconsUtils,geom
display_ds9               2b32d65e7ec24b526e9b433ec5d66a085732f01d  20.0.0+3                                 afw
pipe_base                 04cfba9ea007483fb6e4fdd454caebadbc383075  20.0.0-2-g04cfba9                        daf_butler,daf_persistence,log,pex_config,utils,afw
ctrl_pool                 e404a01e6f1af9a754885946117f9ff954f82a6f  20.0.0+7                                 daf_persistence,pipe_base,log,utils
ctrl_platform_lsstvc      ae98d27b2fb3dd9155f1277a5584699a51fc26e4  20.0.0+3                                 ctrl_execute
dax_apdb                  253301aa6cef94a1860a0adc84002e26b2a6a1a1  20.0.0-1-g253301a+2                      afw,pex_config,sconsUtils,sphgeom,utils
coadd_utils               8227491f6708ddf234dd8f04c47401542adc7b18  20.0.0+7                                 afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
skymap                    e110943ddfa4f7a04ff739b3c9eb73d4571d8233  20.0.0+6                                 sphgeom,geom,afw,daf_butler
ctrl_mpexec               936b1ea1d0945c80d16afda3674a3dda99e3141c  20.0.0-4-g936b1ea+1                      daf_butler,log,pex_config,pipe_base
meas_base                 463f923abe731fa082e257bd2330c87f86233c19  20.0.0+7                                 utils,geom,afw,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
verify                    44bc195f59af9c43de0474066df03eb8afd47fe0  20.0.0-1-g44bc195+6                      sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
obs_base                  34741e2b5a671d922123242e5a82c331d8cc5616  20.0.0-15-g34741e2+1                     daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
meas_extensions_simpleShape 9c54d0d45d64a81b6e1fe4dc8c1448be8fdef35d  20.0.0+7                                 sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
obs_test                  baebbfb635d709947b0f954d1120eab97d373b4d  20.0.0+8                                 afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_algorithms           92e206858db20cb7af113df466a81f0dc823c8d4  20.0.0-2-g92e20685+7                     astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
meas_modelfit             c567de5ed63f0559e16be5bd26185944fa7f9a40  20.0.0+7                                 afw,meas_algorithms,meas_base,log,sconsUtils,shapelet,geom
