# product                 SHA1                                      Version                       
BUILD=b3403
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
xrootd                    b0c4ff29743f011cb5e8f7f2a5944fe33e7e0f6b  master-gb0c4ff2974                       
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
starlink_ast              0d0d9b9b26bc86b22b38b84f3eba8e2a6008a358  lsst-dev-g0d0d9b9b26                     
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
jemalloc                  20ffad636e721dab2fb2e7b4e8a1266ef8f1188f  5.0.1.lsst1                              
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+1                                  python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3                                    python
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
lua                       da519a9056ff1866d790dd89bab2df80b1b4fe49  5.1.4.lsst1-2-gda519a9                   
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+2                             python
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
mariadb                   14a0f555ff2b274aa51bcbfa804569545e4ed530  10.1.21.lsst2                            
validation_data_decam     52ac2b0d78bd02deb995035945e2a5a3f3551516  master-g52ac2b0d78                       
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2                                    python
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+4                            python
protobuf                  dbc86f2b0d009b8c785697bf3f44c1b733ec0dbb  2.6.1.lsst4-1-gdbc86f2+1                 python
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+2                             cfitsio
libevent                  ab04e34f14107106ac2101d52a84488f0939590f  2.0.16.lsst2                             
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+4                                  python,mpi
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+1                            python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+2                                  python
pyflakes                  2c8b201b94934f7fa7a3c7bff3d39731a7ac61aa  1.6.0                                    python
pytest                    78ee25278d11e66ff87b4e1f3b5b95fd52177067  3.2.0.lsst2                              python
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst2                               python,libyaml
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+2                           python
python_execnet            4764a4fea9a1ce3269aac78e49c7d6e6d5ad3091  1.4.1.lsst2                              python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+1                                 python
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+3                                  python,pytest
tmv                       d8aa65926e7c98a9298b73a422feaafe7bf3d672  0.73.lsst1+2                             scons
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+3                            python_d2to1
astropy                   4d079c1f2ee2e98c7771a0c61b15ffd17e211257  2.0.1                                    python
