# product                 SHA1                                      Version                       
BUILD=b4680
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
validation_data_cfht      38570ab94a8ba00dd785eb6b9a58600aff02e694  19.0.0-2-g38570ab                        
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  19.0.0                                   
testdata_decam            0927df50e658bd74c7ca04e628220801769371b1  19.0.0                                   
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
obs_lsst_data             ac8c27c4c23e16d1810f0071737ba296776fa35f  19.0.0-1-gac8c27c                        
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
pytest_session2file       c58ee1678f3d857602a6af30cc331913e41f667b  0.1.9-1-gc58ee16                         python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+2                            python,numpy,eigen
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+3                            numpy,pyyaml
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+2                                  python,mpi
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
astropy                   5006c745bb1dd6a583acc34b11ea3986ca462b95  3.1.2.lsst2                              python
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
python_mccabe             86ed08f574f8482e562f95e461fcf8a3ec561f00  0.6.1-1-g86ed08f                         python
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+5                                  python
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3+2                                  boost,python,numpy,eigen,pybind11,fftw
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+3                                  python,python_mccabe,pycodestyle,pyflakes
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+3                                  python,flake8
firefly_client            97c9674977b979349adf7f2921ae6fd0c842797f  2.2.0.lsst1                              ws4py,python_future
proxmin                   64f50f2247513e98b91fc7598f779a03ff75c8b5  lsst-dev-g64f50f2247                     numpy,scipy
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+5                           python,numpy,pykg_config,cfitsio,astropy
pytest_flake8             8dd8c06520ce9a769d5fabb76d0b77e7d8d867c5  1.0.4-1-g8dd8c06                         python,flake8
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
sconsUtils                42516564a984c28774fbfeac9483dd7668ac985a  19.0.0                                   scons,pytest_flake8,pep8_naming,pytest_session2file,doxygen
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst+2                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f                        sconsUtils
astshim                   a2c679d23199d2f0338a2b0884f894e363b737ef  19.0.0                                   sconsUtils,ndarray,numpy,starlink_ast,pybind11
fgcm                      7d178bbad73bac49eee8e3fc809af01eb0fc4ba4  lsst-dev-g7d178bbad7                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
base                      425ff20ead6cf76d607e761c240f64dab6f47e9f  19.0.0-1-g425ff20                        sconsUtils,pybind11,python,doxygen
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+37                                  gsl,sconsUtils,fftw
sphgeom                   5549ca46ee7ac2727962caa0b578589045194d67  19.0.0-1-g5549ca4                        base,sconsUtils,pybind11,doxygen
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+10                    scons,sconsUtils
scarlet                   cd0f1816b9e71f5d83dcc6c944b12b45bbd1291e  lsst-dev-gcd0f1816b9                     pybind11,scipy,numpy,eigen,proxmin,autograd
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+5                        sconsUtils
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  19.0.0+1                                 base,boost,pybind11,python
utils                     a8eba2281326a04fcaae180debc70eb5aa62ef68  19.0.0-4-ga8eba22                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
