# product                 SHA1                                      Version                       
BUILD=b5907
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  22.0.0                                   
alert_packet              6179d27fb4a8328427f55fdd5d97b2e08a4e358d  main-g6179d27fb4                         
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  22.0.0                                   
ap_verify_testdata        24c69b71f5af4b830d69995bdf83a158d22a7764  22.0.1-1-g24c69b7                        
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
fgcm                      93e57c359b747dfd408ef66f528f19ae431bf63a  lsst-dev-g93e57c359b                     
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  22.0.0                                   
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  22.0.1-1-gbdb8a92                        
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  22.0.0                                   
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  22.0.0                                   
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                b7d2e960379d52d17f72a1d810f236008d914d44  22.0.0-10-gb7d2e96                       
sdm_schemas               e060c75865a3220f06c77715c6f3a4dbfcece1d0  22.0.1-33-ge060c75                       
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  22.0.0                                   
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  22.0.0                                   
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  22.0.0                                   
testdata_jointcal         ed161d13b6101a97b948d4f9101d33024ab160a8  22.0.1-1-ged161d1                        
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  22.0.0                                   
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  22.0.0                                   
astshim                   545b398f03e7ae468f27a5686b2434415c73109c  22.0.1-2-g545b398+f3d053c481             sconsUtils
base                      c17f1a8c7dd5c65572c9707fd416c6e2132646dc  22.0.1-4-gc17f1a8+f3d053c481             sconsUtils
dustmaps_cachedata        41a3ec361e020feb5d91f4807f97f14fa40a6ae7  22.0.1-1-g41a3ec3+f3d053c481             sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  main-gaea3fc0611+f3d053c481              sconsUtils
kht                       14ffe67dc213e67ddceddbca8aa16c8435674325  lsst-dev-g14ffe67dc2+fe93bf5141          eigen
psfex                     57437a15a7692a36fb9b6f02abddd16ce4a51df2  22.0.1-1-g57437a1+f3d053c481             sconsUtils
scarlet                   b4b49c695e223b885a8d98a1711037b41458a6f7  lsst-dev-gb4b49c695e+f31336177f          proxmin
sphgeom                   fb2c8f9998c87dedb1e394b3696a15d30ce4ddbb  22.0.1-8-gfb2c8f9+f3d053c481             sconsUtils
verify_metrics            80d799c5c9b5a54d55f0550f35195cad4edae7ff  22.0.1-5-g80d799c+f3d053c481             sconsUtils
pex_exceptions            958458c828f35b233f9e33c6757fbdaa4c1dda3e  22.0.1-1-g958458c+19c07f3325             base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  lsst-dev-g9d18589735+64a50c43f9          scarlet
cpputils                  1ffd6c4751639a67d0fc06f795875e440db1bff6  main-g1ffd6c4751+5f4f369930              base,pex_exceptions
utils                     7409401826b4e93853e608478bd289359509c37f  22.0.1-18-g7409401+fe49bdc73c            cpputils,sconsUtils
daf_base                  68429ac19bdb751b7ec1f75106e66b245d3582d1  22.0.1-7-g68429ac+b55bf28439             utils,cpputils,pex_exceptions
