# product                 SHA1                                      Version                       
BUILD=b3329
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
starlink_ast              8bde9091e6a2492c5b720a36f163dabef0fe5280  lsst-dev-g8bde9091e6                     
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
sims_skybrightness_data   f6dd53da85a24c7155bc28ab7476cf46ce1f4416  2017.05.05                               
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+10                           python,mariadbclient
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+2                             cfitsio
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+1                                 python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+2                                  python
sims_data                 8f5cf86e2b1cff777e79e0e7c6dcc22665d9f5d1  2017.10.05                               
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+1                                  python
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+4                            python
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1+1                                  python
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+2                             python
astropy                   4d079c1f2ee2e98c7771a0c61b15ffd17e211257  2.0.1                                    python
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+2                           python
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1                                   python
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+5                            python,numpy
ephem                     8f91afc3b39e4ab423d9b85ca9a41588741a2823  3.7.6.0+1                                python
sncosmo                   5e70e902bc295405c8a0a1fde4e916602e8ca550  12.0-1-g5e70e90+4                        python,numpy,astropy
palpy                     8f3fcdb176c79aced1953296187ed79cdca82426  1.8.1+2                                  numpy,python
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst2                               python,libyaml
sims_maps                 f32f3a56d51cbbf8e93e73727db622287737e96d  2017.05.08-1-gf32f3a5+2                  numpy,python
python_psutil             11e66a19cedecba67caa0c08675b630e3806927a  4.1.0+4                                  python
python_execnet            4764a4fea9a1ce3269aac78e49c7d6e6d5ad3091  1.4.1.lsst2                              python
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+4                           python,numpy,pykg_config,cfitsio,astropy
pytest                    78ee25278d11e66ff87b4e1f3b5b95fd52177067  3.2.0.lsst2                              python
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+3                                  python,pytest
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+1                            python
pyflakes                  2c8b201b94934f7fa7a3c7bff3d39731a7ac61aa  1.6.0                                    python
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+3                            python_d2to1
pymssql                   02c450b095cda9e17f5425d9d05c4483169d95fc  2.1.1+7                                  python,freetds
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+6                     cfitsio,wcslib,gsl,numpy
