# product                 SHA1                                      Version                       
BUILD=b3177
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
starlink_ast              a9f9e994b6d85b3e1a5d3408f9831af77ecee394  tickets.DM-11895-ga9f9e994b6             
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
numpy                     4dbe59ce5fcdb41375339587e82cbad825a3d998  0.0.4                                    python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+1                            python
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+3                            python
pyflakes                  91ee776734f574ea9b999be0c9c5adeaf25d794b  1.5.0                                    python
astropy                   47e80e26de26053521c607df82a3a4512572362b  0.0.1.lsst2+2                            python
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+8                            python,mariadbclient
esutil                    49b0a12ac880c1b059d28c9f752fed0630ed2a12  0.6.0+2                                  python,numpy
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+2                                  mpich
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst1-2-g6ae2b7a                    python,libyaml
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+1                             python
matplotlib                d202e908f28541deeeb861c2b656d9d3f900db10  0.0.4+1                                  python,numpy
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1                               cfitsio
python_psutil             11e66a19cedecba67caa0c08675b630e3806927a  4.1.0+3                                  python
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+2                                  python,mpi
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1                              python
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+1                           python
pytest                    5d2f356ca06299b8765f94a9b0a1c894e6469515  3.2.0                                    python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0                                   python
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1                                    python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+1                                  python
ndarray                   0cefb592d352c9aa3fc02d0fec41ec9b7c8a2a36  1.3.0-4-g0cefb59+1                       boost,python,numpy,eigen,pybind11,fftw
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+4                            python,numpy
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+1                           python,numpy,pykg_config,cfitsio,astropy
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+2                     cfitsio,wcslib,gsl,numpy
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+2                            python_d2to1
sconsUtils                c601e82dc6de2e161ae96df31d51f8ffb1864401  14.0                                     scons,python_future,doxygen
tmv                       d8aa65926e7c98a9298b73a422feaafe7bf3d672  0.73.lsst1+1                             scons
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0                                     sconsUtils
verify_metrics            efb3fcf52b3de6d9b7716338b43e827478b41ff2  14.0                                     sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+18                    scons,sconsUtils
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1                                    python,pytest
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+8                                  numpy,python_d2to1,stsci_distutils
