# product                 SHA1                                      Version                       
BUILD=b3460
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
starlink_ast              eaa6eadbc4d4141dce2674cfea4f7dedb46f4930  lsst-dev-geaa6eadbc4                     
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+2                             cfitsio
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
astropy                   4d079c1f2ee2e98c7771a0c61b15ffd17e211257  2.0.1                                    python
marshmallow               49b1716604771ccfdbda5a0011d97d8152aa7da9  2.13.5+1                                 python
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
python_execnet            4764a4fea9a1ce3269aac78e49c7d6e6d5ad3091  1.4.1.lsst2                              python
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+1                                  python
pyflakes                  2c8b201b94934f7fa7a3c7bff3d39731a7ac61aa  1.6.0                                    python
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+10                           python,mariadbclient
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1+1                                  python
boost                     ed2ba0af23c00eff59b44431769b6fc8ec719852  1.66.0                                   python
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst2                               python,libyaml
pytest                    78ee25278d11e66ff87b4e1f3b5b95fd52177067  3.2.0.lsst2                              python
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1                                   python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+2                                  python
ndarray                   1f9144ae0bbf2af45c01be979e9dfad32e73f0a9  1.3.3.lsst2                              boost,python,numpy,eigen,pybind11,fftw
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3                                    python
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2                                    python,numpy
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+1                                 python
jsonschema                6410e3dfae6138eaef0e44ed26d8c2cf88206a4d  2.6.0                                    python
pytest_forked             9b0f4b45bfa2a81a3569b7a8be29e73ffd59d3ac  0.2.lsst2                                python,pytest
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+3                                  python,pytest
sqlalchemy                17feb0b4fc40b855a9837d92f0866c50f1b56d0e  1.2.2                                    python
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+2                           python
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+1                            python
flask                     f44895ae1750d69ddd6116721d00ec24477cf064  0.12+1                                   python
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+3                                  python,pytest
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+2                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+6                     cfitsio,wcslib,gsl,numpy
