# product                 SHA1                                      Version                       
BUILD=b5004
palpy                     a7803970ea9fbca76a1481d3e46fd5b1af9d7158  1.8.1-1-ga780397                         
obs_lsst_data             3fe583d9b33dee90c653f44f2a4c5833261931ec  20.0.0-1-g3fe583d                        
sims_maps                 0e9deaa7802370ac9904a15d5394bffb6027c459  2017.05.08-10-g0e9deaa                   
throughputs               58f0f273b9c8458202f8d8061a4542c3c9f0ed75  2019.07.02-2-g58f0f27                    
ephem                     6182364ef5d674c8f0765ee00779fcfe7ab23a50  3.7.6.0-1-g6182364                       
sims_sed_library          5b328a8624af10bcd6eeab6148384ea206a2de43  2017.01.24-1-g5b328a8                    
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  20.0.0                                   
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  20.0.0                                   
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  20.0.0                                   
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sconsUtils                c4fbba5115c247242fa884bc828940457baae49a  20.0.0-1-gc4fbba5                        
astropy_helpers           9c76ab20764baf2335cbd254d274addf80fd6c80  3.0.2.lsst-1-g9c76ab2                    
proxmin                   f3c77c137e9a1d4aec2327fe20a00b737a9bff47  lsst-dev-gf3c77c137e                     
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
freetds                   0735e0852765cf374c258482c5b9a295c0459975  0.91.112.lsst2-1-g0735e08                
scarlet                   516ae2b0c8129032cf9fe43679c1c27f293408ed  lsst-dev-g516ae2b0c8                     proxmin
pymssql                   b0e77e5799637dc339a54093d2ad130abfe539a0  2.1.1-1-gb0e77e5                         freetds
sncosmo                   d11e57883e4f3e40239fddbfe73e010b0ba23dd6  1.3.0.lsst2-2-gd11e578                   astropy_helpers
base                      4a2362f47cddbeaa6169bf4d124e2e16ced6c532  20.0.0-4-g4a2362f                        sconsUtils
astshim                   e74d1243ec454ae9114f78745dfbf1146f28f62e  20.0.0+1                                 sconsUtils
verify_metrics            5907e2971d3d98c16493d6feb950ca7ca80eb4a8  20.0.0-1-g5907e29                        sconsUtils
sphgeom                   d2e950ecf569e4b7d7d19eed9ff2a58315588f03  20.0.0-3-gd2e950e                        sconsUtils
pex_exceptions            5a8b32307a533f330184baf2541fdc992f91826a  20.0.0+3                                 base
utils                     920eed2ca375a5ab36af36a63d6bc2c3a1d03ef1  20.0.0+3                                 base,pex_exceptions
daf_base                  8a53f90e84ecadcf3f7b8af978e0334a2b60ae93  20.0.0-1-g8a53f90+2                      utils,pex_exceptions
sims_almanac              021b69e146185b5362cbd16f017d3f312930c1a3  master-g021b69e146+1                     base,utils
daf_butler                a83748a67ce4befd96458d7be4c1cf723a14091b  19.0.0-119-ga83748a6                     sphgeom,sconsUtils,utils
sims_utils                0b90c3cfb2870fc4e34ad675f32b81a32951be8b  2.13.0.sims-43-g0b90c3c+5                utils,palpy,sims_data
sims_photUtils            557295365d7cbb4ba14068f51719138413954264  2.13.0.sims-3-g5572953+5                 utils,sims_utils,throughputs
pex_policy                3b2f90d2d5de21d5c31736b6a5652509379f35f3  20.0.0+4                                 daf_base,utils
log                       d1c87d7f0f5a2c9ef125d15c199cea59e2a3ada4  20.0.0-1-gd1c87d7+2                      base,sconsUtils,utils
daf_persistence           bea9075146e63e413e218781ea1034888a172bcf  20.0.0+5                                 log,pex_policy
geom                      ec03fae3b23bb6128565d447d3995199009b66ea  20.0.0-2-gec03fae+4                      sconsUtils,sphgeom,pex_exceptions,utils
ts_dateloc                60a36c8d46cf5e93ce99006be98fed71e8f8e7ad  master-g60a36c8d46+46                    python,sims_utils,utils
astro_metadata_translator 03ebef752875f9f588f645166a0ddca9ba410c91  0.1.0-12-g03ebef7+10                     sconsUtils,daf_base
pex_config                48a0200a5209fc7a150a6944e9ea4e437d4d2b57  20.0.0+4                                 daf_base
sims_survey_fields        3f5255daf361aa322d1c4a72f0310a609ecb7052  2.13.0.sims-1-g3f5255d+5                 utils
sims_catalogs             00a9e003154fd251d253acf0d64ba77b92b6914a  2.13.0.sims-6-g00a9e00+7                 daf_persistence,pymssql,sims_utils,utils
sims_downtimeModel        55f72efa65e9793de772e7accf868fc2f569c778  master-g55f72efa65+17                    utils,pex_config
sims_skybrightness        e89ab89997ab517dc45f95960295296aaa669043  2.13.0.sims-3-ge89ab89+5                 base,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data
sims_cloudModel           e3724df5295e741076d6596dd9a15e4ab9fb1348  master-ge3724df529+19                    utils,pex_config,sims_utils
ts_observatory_model      3d307a5f454a4f538560db017b334a3e1e0295e6  master-g3d307a5f45+46                    python,ts_dateloc,utils
sims_skybrightness_pre    460c1a44419863b084a18d2862ee88a88efe33a3  2.13.0.sims-10-g460c1a4+5                sims_utils,sims_survey_fields,ephem,sims_skybrightness
afw                       de602ef961473a48aa591678ed0aaa87fdc2038f  20.0.0-4-gde602ef96+5                    daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
sims_seeingModel          a4bf72ea443f605edd1ad02490135ddf74d679a3  master-ga4bf72ea44+19                    utils,pex_config,sims_utils,throughputs,sims_photUtils
sims_featureScheduler     9888a9f842d46201efd75c0b191ff377d76218eb  master-g9888a9f842+1                     base,sims_utils,sims_skybrightness_pre,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac,ts_observatory_model
skymap                    db27ee505c03d80a334c008de7c0c82ee17d59ac  20.0.0-1-gdb27ee5                        sphgeom,geom,afw,daf_butler
dax_apdb                  253301aa6cef94a1860a0adc84002e26b2a6a1a1  20.0.0-1-g253301a+6                      afw,pex_config,sconsUtils,sphgeom,utils
pipe_base                 169fecce5adbf90c82a323fb39dced1ea5003332  20.0.0-5-g169fecc                        daf_butler,daf_persistence,log,pex_config,utils,afw
coadd_utils               8227491f6708ddf234dd8f04c47401542adc7b18  20.0.0+16                                afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
meas_base                 463f923abe731fa082e257bd2330c87f86233c19  20.0.0+16                                utils,geom,afw,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
verify                    44bc195f59af9c43de0474066df03eb8afd47fe0  20.0.0-1-g44bc195+15                     sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
obs_base                  52834e77dfe3ba9adb67bcfda7b1a2c54880126b  20.0.0-21-g52834e7                       daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
