# product                 SHA1                                      Version                       
BUILD=b5934
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  g294ccec69c                              
alert_packet              6179d27fb4a8328427f55fdd5d97b2e08a4e358d  g6179d27fb4                              
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  g5887cb02c7                              
ap_verify_testdata        24c69b71f5af4b830d69995bdf83a158d22a7764  g24c69b71f5                              
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  g398bedf734                              
fgcm                      93e57c359b747dfd408ef66f528f19ae431bf63a  g93e57c359b                              
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  gc3e517dea3                              
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  gbdb8a927be                              
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  g2f68bc2906                              
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  g86cffb07a8                              
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  g79c0498783                              
sconsUtils                b7d2e960379d52d17f72a1d810f236008d914d44  gb7d2e96037                              
sdm_schemas               fe263b5aeaaaba2c9826a6365671eb14c26b88fa  gfe263b5aea                              
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  ga65e6c79fd                              
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  g2cc488a7b8                              
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  g4c8566d46b                              
testdata_jointcal         76a28315300e56f8a95005c0e2deacf96e8720d4  g76a2831530                              
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  gbf01ab0e16                              
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  g617ce97910                              
astshim                   545b398f03e7ae468f27a5686b2434415c73109c  g545b398f03+f3d053c481                   sconsUtils
base                      c17f1a8c7dd5c65572c9707fd416c6e2132646dc  gc17f1a8c7d+f3d053c481                   sconsUtils
dustmaps_cachedata        41a3ec361e020feb5d91f4807f97f14fa40a6ae7  g41a3ec361e+f3d053c481                   sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  gaea3fc0611+f3d053c481                   sconsUtils
kht                       14ffe67dc213e67ddceddbca8aa16c8435674325  g14ffe67dc2+fe93bf5141                   eigen
psfex                     57437a15a7692a36fb9b6f02abddd16ce4a51df2  g57437a15a7+f3d053c481                   sconsUtils
scarlet                   b4b49c695e223b885a8d98a1711037b41458a6f7  gb4b49c695e+f31336177f                   proxmin
sphgeom                   fb2c8f9998c87dedb1e394b3696a15d30ce4ddbb  gfb2c8f9998+f3d053c481                   sconsUtils
verify_metrics            80d799c5c9b5a54d55f0550f35195cad4edae7ff  g80d799c5c9+f3d053c481                   sconsUtils
pex_exceptions            958458c828f35b233f9e33c6757fbdaa4c1dda3e  g958458c828+19c07f3325                   base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  g9d18589735+64a50c43f9                   scarlet
cpputils                  1ffd6c4751639a67d0fc06f795875e440db1bff6  g1ffd6c4751+5f4f369930                   base,pex_exceptions
utils                     517bd563f71f7ab1a4a4028f0e6a5172bc99c5b8  g517bd563f7+fe49bdc73c                   cpputils,sconsUtils
daf_base                  68429ac19bdb751b7ec1f75106e66b245d3582d1  g68429ac19b+e455c7a49c                   utils,cpputils,pex_exceptions
geom                      d4e50c780054e0d5ee9a4ba1a04f14ad1dfb31c5  gd4e50c7800+59995c006e                   sconsUtils,sphgeom,pex_exceptions,utils,cpputils
log                       d27fc4adddcd693a3676256514bd28d3fe4892ab  gd27fc4addd+e455c7a49c                   sconsUtils,utils
resources                 04ba59dc9dd636f3ffef024687be2945fe161700  g04ba59dc9d+e455c7a49c                   sconsUtils,utils
astro_metadata_translator fc6a95e243db1a0d06bf8971ea7bb964824e551a  gfc6a95e243+0ec44a33f5                   sconsUtils,daf_base
daf_butler                9fe239ba9414edc5c938993e5b42497e94a2c548  g9fe239ba94+4441abb2a7                   sphgeom,sconsUtils,utils,resources
pex_config                5bf565c988a9bdcecbef989daa22817dfffb2721  g5bf565c988+0ec44a33f5                   daf_base
daf_persistence           6a31054a6e190c0130a42d9a3bbd65e6fb007a11  g6a31054a6e+db476d15fe                   utils,log,daf_base,pex_config
dax_apdb                  d4f24f6172600f96efed597a2e8c1de9a5891abe  gd4f24f6172+d5c7895350                   geom,daf_base,pex_config,sconsUtils,sphgeom,utils
afw                       5c39d4753be550312451416925753d6985ef8068  g5c39d4753b+955d02b84f                   daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
ctrl_orca                 56b4a02df4ae457b23f06fcd017db3bd154193b4  g56b4a02df4+754f720c0a                   utils,pex_config,daf_persistence,log
cbp                       aebe1cbaf0a5225dba25a498f914b0b2827f15c1  gaebe1cbaf0+97c1428084                   geom,sphgeom,afw
ctrl_execute              21dfb85fb4be3163014c3ef921f9bda47223d04c  g21dfb85fb4+2f0d3c56d7                   ctrl_orca,pex_config,utils
display_ds9               faaac7f73f47ca023402d012ad3c6aa0ba9c3a28  gfaaac7f73f+97c1428084                   afw
