# product                 SHA1                                      Version                       
BUILD=b1171
throughputs               a98b3deed1e09eb328a8bbfef44433ed09430eeb  master-ga98b3deed1                       
eigen                     e7c2993de8c624e968067861b71e3f7787c8b387  3.2.0                                    
xpa                       37475053b1454edd07059ce496d2fd851ca0a448  2.1.15.lsst1-1-g3747505                  
python                    259ae7060d5430926998615a42cf4b4c117a449e  0.0.2-1-g259ae70                         
swig                      ccf66d07ee20460f0eb3c396d8f04e5d5e249ee3  3.0.2.lsst1                              
doxygen                   16ba5fa702ef543facf1ab4530b6a436f20f8f8b  1.8.5                                    
sims_sed_library          7b2c9abf7cf0a849fb839e1aadc0af41a62882d3  2014.10.06                               
sims_data                 dac76d2d31a18efd420080cf729efcfc59b66910  master-gdac76d2d31                       
fftw                      79f7a23301533025fb1a46e9e8e60e565bdb8831  3.3.3                                    
pyephem                   2fa459bf78ce024ea022dfdeba525a395984f205  3.7.5.1.lsst1                            
cfitsio                   9799952d95ad6495ae9dac67c203ca9ec9369b1b  3360.lsst1                               
mysqlclient               b5244aa1cc5e692fdf2d47a301f9aa0b47cdbc83  5.1.73.lsst1                             
sims_dustmaps             9b0d0a937dab12efdb4a913bca8b4f0fb7c6d53c  2014.09.23-1-g9b0d0a9                    
palpy                     c3c882875a31772409948faf91ae83818ec6622b  1.6+1                                    python
scons                     04d5b3952f4eb952fc89f93b1da9aa716d2f8c69  2.3.0+3                                  python
sconsUtils                54c983ffe9714a33657c4388de3506fe7a40518d  10.0-3-g54c983f                          scons,doxygen
freetds                   65bec99c16438d2f7f679588754be8dc38cacf93  2014.04.07                               
boost                     52f51dfb325a3e133b19d1e7540b0c6236b8ed61  1.55.0.1.lsst2+2                         python
minuit2                   52671862e2092d512968e3b04e0699fdeb048f09  5.28.00                                  
base                      8080078c56ef7b263fa802b99239a3895db748a0  10.0-6-g8080078                          boost,sconsUtils,swig,doxygen
pymssql                   b098d072cb0fc038983760d6937abc5ec88a6927  2.0.0+4                                  python,freetds
pykg_config               c4dd3b426d8c89d1abccbd64ed5e3e3ea4209f2f  1.2.0+4                                  python
mysqlpython               bd46a5f42237ae63804db3ad11256bb03e4667c8  1.2.3+15                                 python,mysqlclient
gsl                       5893b4178257989f858942330536d283762734ea  1.16.lsst1                               
pex_exceptions            c69578ece61dcd87f871ad7d67b7874261f33d94  10.0+16                                  base,boost,swig
wcslib                    98c01aeebcc86d55f6ceabbf0c5645632462d605  4.14+7                                   cfitsio
numpy                     e3014bbc3285368c8fb605a5225c1affc7fdd34f  0.0.1+4                                  python
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+8                                   sconsUtils
astrometry_net            dee887dc5d6f335267d6188a4c1409cbd0724001  0.50.1+5                                 cfitsio,wcslib,gsl,numpy
utils                     82883c77f71697b8df9fe15c2956ea5b787b8a11  10.0-5-g82883c7+2                        base,pex_exceptions,boost,numpy
afwdata                   66eca2ec1790974980055c02f0b75c84b11e37b3  10.0+8                                   sconsUtils
pyfits                    08519beb22c27656b9766f976d4cb58394d473b9  3.2.4.lsst1+2                            numpy
tmv                       f77e20951c0976b12b5367201781cdb959a861ed  0.72.lsst1-1-gf77e209                    scons
healpy                    b92d2eae9efb6d8a72740fe17d024d430ddafd38  1.8.1+5                                  python,pykg_config,cfitsio,pyfits
geom                      e36792e6e9d9e1dba9c850006c7d1175100e0ab0  10.0+8                                   sconsUtils
matplotlib                a7cb3a7235886c474e242d3f89160e3865d2f008  0.0.1+4                                  python,numpy
ndarray                   7408a83a3aa3df1509bb22d61aa4438c65cef2b6  10.0-1-g7408a83+5                        boost,python,numpy,eigen,base,swig,fftw
daf_base                  027f45fabfe562e913fa53cf8f203f837d6d92de  10.0-4-g027f45f+9                        utils,pex_exceptions,numpy
GalSim                    a001b1539b2ed32e67098ff2616555dd9d2b8ae5  1.2.lsst2+3                              numpy,pyfits,boost,fftw,tmv
sims_utils                966c16afcff0d71c6f174509a1fca1a0fdab064e  master-g966c16afcf+7                     utils,python,palpy
pex_logging               5228db0c0ca19d686b70d1954c1bc0a60257d1e0  10.0-2-g5228db0+4                        pex_exceptions,daf_base
sims_catalogs_generation  68b78a5151795a2cbfb05f6238d1ed3ecaf9c70b  1.0.0-80-g68b78a5+7                      utils,python,sims_utils
pex_policy                0f530505b3d2ea492419b374fd2d46085749c596  10.0-1-g0f53050+18                       daf_base
pex_config                1bbe32c89d407f972c81ecb26b6c14b7e0b78782  10.0-3-g1bbe32c+18                       daf_base,pex_policy,numpy
sims_catalogs_measures    29e70312ae825d3718b3fb82ed4bbccf56e4c948  1.0.0-22-g29e7031+24                     utils,python,sims_catalogs_generation
daf_persistence           3391ba5ea08ed4317be8a097ddbb309e1e0d8fd0  10.0+47                                  mysqlclient,pex_logging,pex_policy
afw                       8c09fcce30bd82bb44badce4819a0745326a7780  10.0-47-g8c09fcc                         daf_base,daf_persistence,pex_config,ndarray,cfitsio,wcslib,xpa,numpy,minuit2,eigen,gsl,fftw,utils,pyfits,matplotlib,afwdata
sims_coordUtils           ed94f81cbd2443570e96b62a9984623794c4108e  1.0.0-62-ged94f81                        sims_catalogs_measures,utils,base,python,throughputs,palpy,pyfits,afw
skypix                    1157bf09aee6dda8cdefede4395220da4b46d0fe  10.0+153                                 utils,pex_policy,geom,afw
skymap                    8ff4092549790d886a8480a45e7c94ec46941bad  10.0+153                                 numpy,afw
sims_photUtils            4c590e57ac7e2485a857d0afb5aea7336cafd005  1.0.0-79-g4c590e5+19                     utils,sims_catalogs_measures,sims_catalogs_generation,sims_sed_library,sims_dustmaps,sims_coordUtils,python,throughputs,pyfits
daf_butlerUtils           c54cf9771df5abbbd0f5495e1ca6fbf98d8339da  10.0+154                                 daf_base,pex_logging,pex_policy,daf_persistence,afw,skypix,pyfits
obs_test                  fc6a2883a6c39ee46a969bbef5f4f06e25dc370c  10.0-3-gfc6a288+26                       daf_base,daf_butlerUtils,pex_policy,daf_persistence,pex_config
pipe_base                 5b46d21b7b49e12cee2619d64108a217011beed6  10.0-3-g5b46d21+21                       daf_persistence,pex_logging,pex_config,utils,afw,obs_test
coadd_utils               4b7b1720df89d725e4c95811d5df45c20f0c3a63  10.0-1-g4b7b172+40                       afw,pipe_base,pex_config,afwdata
coadd_chisquared          c1e0f5adb8a3f6674d96253b4ec470149d74c1eb  10.0-1-gc1e0f5a+40                       coadd_utils,afwdata
meas_base                 04250b3e38762e84c0c227623cf18f98b38c142b  10.0-29-g04250b3+19                      afw,pipe_base,daf_base,pex_config,coadd_utils
meas_algorithms           d91c143c8524d26c47e9ed78e3da18c31eb50422  10.0-18-gd91c143+18                      afw,pex_logging,pipe_base,meas_base
meas_deblender            88c55f79cb4d1aca20caf79a6b4fe82ca98a48a7  10.0-6-g88c55f7+20                       utils,afw,meas_algorithms,matplotlib
meas_astrom               4904429915d7fd517cb0b32bbc6d699544de4846  10.0-12-g4904429+18                      afw,meas_algorithms,pex_logging,pex_config,pipe_base,wcslib,astrometry_net,numpy,matplotlib
ip_isr                    14174d33bcb74b9100d1eb79a675334405df232c  10.0-3-g14174d3+8                        meas_algorithms,pipe_base
ip_diffim                 f9e7dbfa30a9b16454ce7504f61c951257c4dfe0  10.0-6-gf9e7dbf+25                       afw,meas_base,meas_deblender,numpy,pex_config,pipe_base,afwdata,matplotlib
pipe_tasks                080cf7c645b63bf7b18bd3f9576c08469b0f40cd  10.0-13-g080cf7c+8                       pipe_base,pex_config,afw,meas_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_lsstSim               2f4471ba346dec02744277b6189f8479031d3a01  10.0-3-g2f4471b+8                        daf_base,pex_policy,afw,daf_persistence,daf_butlerUtils,meas_algorithms,ip_isr,pipe_tasks,mysqlpython
sims_maf                  1ec231a3bd07428954c470963cf5d94e3c7f3e97  0.2.3-2-g1ec231a+3                       base,numpy,matplotlib,pyephem,palpy,pex_config,sims_catalogs_generation,sims_photUtils,sims_coordUtils,sims_dustmaps,healpy,obs_lsstSim
sims_catUtils             e02f8abeb415876eb57ae173fa89786a41897511  master-ge02f8abeb4+60                    utils,sims_catalogs_measures,sims_catalogs_generation,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,GalSim,obs_lsstSim
lsst_sims                 69b085209b752f3b5c46ba630c3bd571f627e78d  master-g69b085209b+787                   sims_maf,sims_catUtils,sims_catalogs_generation,sims_catalogs_measures,sims_sed_library,sims_dustmaps
