# product                 SHA1                                      Version                       
BUILD=b4964
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
firefly_client            ae83af3b70c29dfa908b8bf06ddb593195c6c16e  lsst-dev-gae83af3b70                     
alert_packet              af23745059b396c4fa398805c7f33fbfefba9a88  master-gaf23745059                       
obs_decam_data            7048e9c24cba5cc4530673ac24056a5b64b15268  19.0.0-1-g7048e9c                        
testdata_jointcal         aafa04de12272748935336bc9c18f70618054d5d  19.0.0-8-gaafa04d                        
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
testdata_decam            f48a38f4e07cc996f455920436a2362e0bf1cb18  19.0.0-3-gf48a38f                        
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
sconsUtils                1276964a75b16dfc5742bc8cbd7332de4b1cf402  19.0.0-3-g1276964                        
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
proxmin                   f3c77c137e9a1d4aec2327fe20a00b737a9bff47  lsst-dev-gf3c77c137e                     
jointcal_cholmod          07e7fe16037819979811ebb0c62ce864391a9f58  master-g07e7fe1603+1                     sconsUtils
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  19.0.0-3-g489cb8a                        
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  19.0.0-1-g81f4c9d                        
fgcm                      1707e9c10bd01419edc1bb73eca27017173629e1  lsst-dev-g1707e9c10b                     
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  19.0.0-3-g62ccb58                        
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f+6                      sconsUtils
base                      082faa5fe967e37eaf3f5f7b66b34b56eaf7d6db  19.0.0-8-g082faa5                        sconsUtils
scarlet                   516ae2b0c8129032cf9fe43679c1c27f293408ed  lsst-dev-g516ae2b0c8                     proxmin
astshim                   e74d1243ec454ae9114f78745dfbf1146f28f62e  19.0.0-3-ge74d124                        sconsUtils
pex_exceptions            5a8b32307a533f330184baf2541fdc992f91826a  19.0.0-4-g5a8b323+3                      base
psfex                     a90eac9742e8c7f0280a06fc7e59f4acf6af86b1  19.0.0-3-ga90eac9                        sconsUtils
sphgeom                   8557e14f57db8e580d8fb7b02a3592c5a3096ea8  19.0.0-4-g8557e14+3                      base,sconsUtils
utils                     920eed2ca375a5ab36af36a63d6bc2c3a1d03ef1  19.0.0-10-g920eed2+3                     base,pex_exceptions
daf_butler                029026b7d8556fe195d9e2e5180cdafb056a497b  19.0.0-109-g029026b7                     sphgeom,sconsUtils,utils
log                       4db63b3cc4b64606c314604c76b538835c1ae7da  19.0.0-5-g4db63b3+3                      base,sconsUtils,utils
geom                      b9eeb6091861d37b206d313733e5766540b4bf74  19.0.0-5-gb9eeb60+3                      sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  66397f0bdd4305e81a97832a95f3c61c0a21fcad  19.0.0-4-g66397f0+4                      utils,pex_exceptions
pex_config                48a0200a5209fc7a150a6944e9ea4e437d4d2b57  19.0.0-11-g48a0200+5                     daf_base
astro_metadata_translator 03ebef752875f9f588f645166a0ddca9ba410c91  0.1.0-12-g03ebef7+5                      sconsUtils,daf_base
pex_policy                3b2f90d2d5de21d5c31736b6a5652509379f35f3  19.0.0-2-g3b2f90d+5                      daf_base,utils
daf_persistence           bea9075146e63e413e218781ea1034888a172bcf  19.0.0-7-gbea9075+7                      log,pex_policy
afw                       f994031736a5aebff8059662de26228ac6c70833  19.0.0-27-gf99403173                     daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
ctrl_orca                 a18918569f758cb2bbb1f2d69ddbb6439dc54a83  19.0.0-2-ga189185+7                      utils,pex_config,daf_persistence,log
display_ds9               2b32d65e7ec24b526e9b433ec5d66a085732f01d  19.0.0-3-g2b32d65+10                     afw
cbp                       e319b44137a96ff988209d041d710a369e64a734  master-ge319b44137+4                     geom,sphgeom,afw
ctrl_execute              637769e54ab186bbaaec5c6c47ce9bf1a4a4265f  19.0.0-2-g637769e+7                      ctrl_orca,pex_config,utils
pipe_base                 878c51024c678ad3efe02ef1eb6007317e00d6e1  19.0.0-24-g878c510+13                    daf_butler,daf_persistence,log,pex_config,utils,afw
display_matplotlib        06f596319d54ed350da1ab9b6fa0a2e029695f90  19.0.0-4-g06f5963+10                     afw
dax_apdb                  4a9c019a5d69f6b94d11e1178ac7c3e4f95c4524  19.0.0-4-g4a9c019+10                     afw,pex_config,sconsUtils,sphgeom,utils
ctrl_platform_lsstvc      ae98d27b2fb3dd9155f1277a5584699a51fc26e4  19.0.0-1-gae98d27+7                      ctrl_execute
shapelet                  cfc5f51f83a6add5a1b0b5929e4f97abf26e6c7d  19.0.0-3-gcfc5f51+10                     afw,sconsUtils,geom
