# product                 SHA1                                      Version                       
BUILD=b4887
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  19.0.0-3-g62ccb58                        
fgcm                      2c16a2033a3246d18772f644765e1d28a65113ce  lsst-dev-g2c16a2033a                     
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  19.0.0-1-g81f4c9d                        
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
sconsUtils                1fb10ab5aa3a5cd27d6d2968b9ecc7a53680e529  19.0.0-2-g1fb10ab                        
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
firefly_client            ae83af3b70c29dfa908b8bf06ddb593195c6c16e  lsst-dev-gae83af3b70                     
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f+5                      sconsUtils
testdata_decam            9a3ee7c47e5b744c6385fc735f964c043f1ce9c8  19.0.0-2-g9a3ee7c                        
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  19.0.0-3-g489cb8a                        
proxmin                   38c183851a4967b7ce7f5b3f63771a3f50d43ee8  lsst-dev-g38c183851a                     
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
jointcal_cholmod          07e7fe16037819979811ebb0c62ce864391a9f58  master-g07e7fe1603                       sconsUtils
astshim                   6e0b8f91565e7ab7231f7371301a23e965a6d9ff  19.0.0-2-g6e0b8f9                        sconsUtils
psfex                     082f1ba24e40be48eb56f6ba1d41074a33a283a0  19.0.0-2-g082f1ba                        sconsUtils
scarlet                   ccea6b4eda2307bb3d200385208aae9ee4c2df76  lsst-dev-gccea6b4eda                     proxmin
base                      b4e00336b81dfab626fa5707e88ff4c93e92b26f  19.0.0-4-gb4e0033                        sconsUtils
sphgeom                   c70e9ede16c625a7a322e5ed2025ddd9ea0ea7e1  19.0.0-3-gc70e9ed+1                      base,sconsUtils
pex_exceptions            a84a0ef9fa2aaefbc298e5716407b571c84fcfd8  19.0.0-3-ga84a0ef+1                      base
utils                     967c74770d2734af7464718a5683ae970cac0ea1  19.0.0-8-g967c747+1                      base,pex_exceptions
geom                      99a058eb8ed9d50faddcc3df4a2d996382094e6e  19.0.0-3-g99a058e+1                      sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  4aada7329535d96c0c5125800b839f80c803726d  19.0.0-2-g4aada73+1                      utils,pex_exceptions
pex_config                3250e53b64f96ca00b0e895c38f208c2008b52e1  19.0.0-10-g3250e53+1                     daf_base
log                       1faeb961858047ee983b475fa6eddf23a327089b  19.0.0-1-g1faeb96+1                      base,sconsUtils,utils
pex_policy                ad49e94f5d5a30d489fbe9c481d814cf594dfec5  19.0.0-1-gad49e94+1                      daf_base,utils
astro_metadata_translator 452a59e9cf4268ef7db2e3b299c8a1defc663f9f  0.1.0-11-g452a59e+1                      sconsUtils,daf_base
daf_persistence           60c8ecb588ac51ddd0a7e9cd584baf9d4d688d4c  19.0.0-6-g60c8ecb                        log,pex_policy
