# product                 SHA1                                      Version                       
BUILD=b6722
afwdata                   29215c5faf398d9fd95a6c3724edd99018170175  g29215c5faf                              
alert_packet              c1f99d08cbe11ff308da09ca11a607d4f074b9f9  gc1f99d08cb                              
ap_verify_testdata        2c2d231d69267d75cc754bf5eb3e8ac5363b7734  g2c2d231d69                              
fgcm                      8d9a5b08052c3a6f0f8280771f1c6f39599bae82  g8d9a5b0805                              
gbdes                     c329cc8a54929cc09a314378a780a76143337aa1  gc329cc8a54                              
kht                       afcb7142decdb77911b08be3ee495256b2f19ed3  gafcb7142de                              
obs_decam_data            9eeeb5e1744bf8adbf537d8090ce4329e9927f2a  g9eeeb5e174                              
obs_lsst_data             5736ae6652b7467a03c746298b8b18c0a5190b22  g5736ae6652                              
obs_subaru_data           7ff78db35487d4e684a72e349abc7204559ea87b  g7ff78db354                              
proxmin                   33b4157f2516bd8c00926329f87583cee3ef3f95  g33b4157f25                              
sconsUtils                1f1c80672ba676893dea11e0825e1ae9408617fb  g1f1c80672b                              
sdm_schemas               859e831c379cf9bff040e299ed113bf5c425c228  g859e831c37                              
spectractor               7bf34a7a6e2fe70cce88458ea557b71d25708bd6  g7bf34a7a6e                              
testdata_cfht             6f12da9c6fde087ee76ca752d64ee876b6ca1548  g6f12da9c6f                              
testdata_deblender        87fb46585bb0ba968cb39ae1ee510fef5b1869f8  g87fb46585b                              
testdata_decam            083a80d7f211fc8ea4ad915867463b4e7a63411f  g083a80d7f2                              
testdata_jointcal         ba50592d5bfa775cffd203363e7c386ecb18122b  gba50592d5b                              
testdata_subaru           d0a08a8fc3033106dbb104609bb2e4289d052be9  gd0a08a8fc3                              
base                      98ffbb4407f2dc97b436cf63f7667fbd88b0ae49  g98ffbb4407+434c804113                   sconsUtils
dustmaps_cachedata        bb0a0c949e73ad2289341f9e0bf912c1e810fe45  gbb0a0c949e+434c804113                   sconsUtils
felis                     56b87fd2aed0f811359b643be96770454d238263  g56b87fd2ae+434c804113                   sconsUtils
jointcal_cholmod          81a980c3ddbbca861c73ffb98bce1fd1a391b2d6  g81a980c3dd+434c804113                   sconsUtils
psfex                     0ecd73bc3e0d4f2037d498a5accdb88e76437f65  g0ecd73bc3e+434c804113                   sconsUtils
scarlet                   63ff1f842d17172d0fc78673342dfc53c01cae79  g63ff1f842d+4083830bf8                   proxmin
sphgeom                   877625a462a166d6c62699d0d3b0080967c75a55  g877625a462+434c804113                   sconsUtils
utils                     4b479e1fae4e9aa5629d54c9cde74fddb71c817d  g4b479e1fae+434c804113                   sconsUtils
verify_metrics            b1abcf23a75e6d0dc67e9e1527b4d284ca9f43aa  gb1abcf23a7+434c804113                   sconsUtils
daf_relation              8a20fa5453ac03bfd8e5dd4118d1e67b066af0fc  g8a20fa5453+8a13ff89d9                   sconsUtils,utils
log                       1e7d6db67d9d2240757233e5c1e027713d3c69a6  g1e7d6db67d+8a13ff89d9                   sconsUtils,utils
pex_exceptions            daeeff99f8728ee92fda84cdea39102f76477f23  gdaeeff99f8+452a7372b1                   base
resources                 9349d46f9b396199cbd2147f5c4be1a21e18278f  g9349d46f9b+8a13ff89d9                   sconsUtils,utils
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  g9d18589735+d445b4966c                   scarlet
cpputils                  9ddcbc5298c854b26dfaaeba050c073e69d8e493  g9ddcbc5298+7684e62712                   base,pex_exceptions
daf_butler                f8470dfba7bbb372a58f7026bad52f81d30c262f  gf8470dfba7+22eb22c807                   sphgeom,sconsUtils,utils,resources,daf_relation
astshim                   3273194fdb8a9e75327a71b15298448ff22f26ca  g3273194fdb+78f48b10ca                   sconsUtils,cpputils
daf_base                  f041782ebf2dcebf600f0209c16696c0757f1b24  gf041782ebf+2f66163b1a                   utils,cpputils,pex_exceptions,base
geom                      a1e77700b36a2b3767729a3fc699276ea1d2007d  ga1e77700b3+834140c74f                   sconsUtils,sphgeom,pex_exceptions,utils,cpputils
astro_metadata_translator 0978aabd1fca2088ed7f9d45a496a5b669b3629d  g0978aabd1f+bfb0567752                   sconsUtils,daf_base
pex_config                733a212e47d91804f89e44a4fc5f13165d6314d6  g733a212e47+bfb0567752                   daf_base
afw                       480a6a738a93687b3eb272eb9faac93aabb7eb01  g480a6a738a+8ec653cd9e                   daf_base,pex_config,geom,log,sphgeom,utils,astshim,base,cpputils,afwdata
ctrl_execute              3288a415c1fbcd0bca10025638997579c26c032b  g3288a415c1+46525d0d2e                   pex_config,utils
dax_apdb                  4c90b7bd525b4debbda7cb85815ef8d33644479a  g4c90b7bd52+c6585dc629                   felis,geom,daf_base,pex_config,sconsUtils,sdm_schemas,sphgeom,utils
pipe_base                 1237108517beeceaa39e570bfb21673dcf13ab93  g1237108517+50d9cff02d                   daf_butler,pex_config,utils,resources
cbp                       a32fcf49c8d30cf671f47ce018931f3d72162029  ga32fcf49c8+287314537d                   geom,sphgeom,afw
coadd_utils               726579da51b28da43505598b30ab91c7ec54494f  g726579da51+287314537d                   afw,log,sconsUtils,utils,afwdata,pex_config
ctrl_mpexec               14083509aea3acc56bb4932002018e3051217be8  g14083509ae+55117b2a77                   daf_butler,pex_config,pipe_base,utils
ctrl_platform_s3df        3be6bbf6eea971d3b650ec05318f2f4b45525c34  g3be6bbf6ee+191a75d1f1                   sconsUtils,ctrl_execute
display_astrowidgets      2bbee38e9bfd937a1eca947439aca2323cbe174e  g2bbee38e9b+287314537d                   base,afw
display_ds9               db4ec4c5972432f81f22c10ef2ebb0a6b1a66f5a  gdb4ec4c597+287314537d                   afw
display_firefly           ae46bcf261995c578d76086a2ee5f0088ccf4351  gae46bcf261+287314537d                   afw,geom,log
display_matplotlib        0265f82a028ed87659288d5918a086523e0c8947  g0265f82a02+287314537d                   afw
obs_base                  e6408159bd4a7454ed21e2820913e856b8fc1166  ge6408159bd+2f289e70b6                   utils,daf_butler,pipe_base,resources,astro_metadata_translator,pex_config,daf_base,afw,geom,pex_exceptions,log
shapelet                  f3487cfe8b0c3cb5011088d0f54a520b9dd89882  gf3487cfe8b+287314537d                   afw,sconsUtils,geom
skymap                    bae45e39e2164c5b4b4715bd900ada69f6d1ded9  gbae45e39e2+b086fb0c66                   sphgeom,geom,afw,daf_butler
verify                    5fadffe09718cb1ecf3bb4e8e425a4e10f51ea4d  g5fadffe097+4cbfac7e02                   sconsUtils,utils,pex_config,daf_butler,pipe_base,dax_apdb,afw,verify_metrics
ctrl_bps                  11e185451417af6fe24ad0744c8c85214763c190  g11e1854514+9e0ef0eb8a                   sconsUtils,utils,daf_butler,pipe_base,resources,ctrl_mpexec
meas_base                 59cc61a4c315f23e9fff6dae8fbb057b2c5fadf0  g59cc61a4c3+8cd6d4ca78                   utils,geom,afw,skymap,daf_base,sphgeom,pex_config,pipe_base,sconsUtils,cpputils,obs_base
ctrl_bps_htcondor         4bda180e2e4ea6d8a632250dbdbf7b92e7dfb8b8  g4bda180e2e+27c1d318f3                   sconsUtils,ctrl_bps,utils
ctrl_bps_panda            72cefa85e0b398ef28e1dbe41f8cfb072051ca39  g72cefa85e0+27c1d318f3                   sconsUtils,ctrl_bps,daf_butler,resources,utils
ctrl_bps_parsl            fe186b85dc5466a187e70848d8b70e7092ad89f4  gfe186b85dc+27c1d318f3                   ctrl_bps,utils
meas_algorithms           81e08b039beaf63103ddc5cbf52b0c523f57a296  g81e08b039b+74d6e6472f                   astshim,daf_base,geom,afw,log,meas_base,pex_config,pex_exceptions,pipe_base,sconsUtils,utils,cpputils
meas_extensions_simpleShape cf0d15dbbd8e1c410f62060a9388a7b98e664db3  gcf0d15dbbd+74d6e6472f                   sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_extensions_trailedSources e23793e450930f87f096a48bfe1d39386c17bc90  ge23793e450+74d6e6472f                   base,afw,geom,pex_config,utils,cpputils,meas_base
meas_transiNet            2ca692352a3cf75f0bbce44e321ceeeee7d5b641  g2ca692352a+74d6e6472f                   base,pex_config,pipe_base,meas_base
ip_isr                    004e921b115a0eb3daf4bd1d81cc216b18f1c461  g004e921b11+556384bc6d                   meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
lsst_bps_plugins          3a590c521e9cfb37e0cc03f799ce5cabe499d2c2  g3a590c521e+b6b94c5051                   ctrl_bps_htcondor,ctrl_bps_panda,ctrl_bps_parsl
meas_astrom               374be3e90331051e90bd26b44188b6c0d6391783  g374be3e903+556384bc6d                   geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_deblender            2cc88a295266c5ad0f42ecb27fa23693f735f87b  g2cc88a2952+f0294a375a                   afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_photometryKron b2715bf1a11a9885ee7a7034b54c357fa13a16ec  gb2715bf1a1+556384bc6d                   meas_base,meas_algorithms
meas_extensions_piff      c86a011abf5918a342f78a1f2ff8e8c3cb85bcbc  gc86a011abf+556384bc6d                   afw,base,geom,log,meas_algorithms,pex_config,utils
meas_extensions_psfex     c45c8d2e9868acac87667508e322030c9042e1a4  gc45c8d2e98+232f914747                   afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
meas_extensions_scarlet   943cb464a29ba1f7bee0be1ce181afc6262eca39  g943cb464a2+c5e7d93897                   base,afw,log,scarlet,scarlet_extensions,log,pex_config,pex_exceptions,pipe_base,meas_algorithms,testdata_deblender
meas_extensions_shapeHSM  571dde35ae4c64b5b88316b94c432cedbacedf01  g571dde35ae+556384bc6d                   meas_base,meas_algorithms,geom,afw,daf_base,pex_exceptions,sconsUtils,utils
meas_modelfit             93c4d6e787dde999cfd2cf68b56b7f62d1bd4302  g93c4d6e787+8a43fa3123                   afw,meas_algorithms,meas_base,log,sconsUtils,shapelet,geom,cpputils
ip_diffim                 432e39061a5cedd2e50ea8b1d2c2ca15800b5757  g432e39061a+6eecc635cf                   afw,daf_base,log,meas_astrom,meas_algorithms,meas_extensions_trailedSources,meas_extensions_shapeHSM,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
meas_extensions_convolved 42fff21dfb88e9ac1772aa792458ec200baa4b58  g42fff21dfb+ed7c58b4e1                   meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
meas_extensions_gaap      96f6979c0c911fbf5009b669cec727d663ea42ed  g96f6979c0c+ba627fc089                   afw,daf_base,geom,ip_diffim,meas_algorithms,meas_base,pex_config,pex_exceptions,utils
pipe_tasks                621ab299ffd410a2dae13e7ad43e0ae3374edc33  g621ab299ff+057a7ca058                   afw,coadd_utils,daf_base,daf_butler,dustmaps_cachedata,geom,ip_diffim,ip_isr,kht,meas_algorithms,meas_astrom,meas_base,meas_deblender,meas_extensions_convolved,meas_extensions_gaap,meas_extensions_photometryKron,meas_extensions_piff,meas_extensions_psfex,meas_extensions_scarlet,meas_extensions_shapeHSM,meas_extensions_trailedSources,meas_modelfit,obs_base,pex_config,pipe_base,skymap,sphgeom,utils,verify
analysis_drp              9260a5dc4e054079ffdbb4e195651eec9d05ec3a  g9260a5dc4e+8d76bc4cb7                   base,pipe_base,pex_config,pipe_tasks,skymap,geom
ap_association            3b3147e355cd2a737d7ebca164c5eaa85cdd85fc  g3b3147e355+68fda7638f                   afw,alert_packet,dax_apdb,meas_algorithms,meas_base,pex_config,pipe_base,pipe_tasks,verify
cp_pipe                   5b5c36233a5708c49bd2ef59b717f6cd5a175c3b  g5b5c36233a+8d76bc4cb7                   pex_config,pipe_base,log,ip_isr,afw,meas_algorithms,pipe_tasks
drp_tasks                 09525937e20ffcb24ff151a364aee932f2461471  g09525937e2+6dc4dcbe91                   base,gbdes,afw,daf_base,daf_butler,sphgeom,pex_config,geom,pipe_base,utils,meas_algorithms,pipe_tasks
faro                      6bd4a8c087a5599a0f6765cec3be6554275939e8  g6bd4a8c087+bb873dbc50                   afw,base,ctrl_mpexec,daf_butler,dustmaps_cachedata,geom,pex_config,pipe_base,pipe_tasks,sconsUtils,utils,verify,verify_metrics
