# product                 SHA1                                      Version                       
BUILD=b4133
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  17.0.1                                   
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  17.0.1                                   
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
astropy                   f103417e2debfdf9faca903ba4e3601601def058  3.0.3                                    python
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  17.0.1                                   
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+3                             cfitsio
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+3                                  python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+2                                  python
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+1                            python
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0                                    python
sqlalchemy                b10e179a4fb2e544ed6b44be81e6534b1b267aa4  1.2.16                                   python
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  17.0.1                                   
boost                     c95036e05c29f825c366ecaa2ca50ab59fde8aca  1.68                                     python
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0                                    python
numpy                     6d6b4336bca07656dc555711d538cb7f5de4c175  1.14.5                                   python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+3                                 python
scipy                     fed6564713e0334ccce262d64d8a85c828dc6c2d  1.1.0                                    python,numpy
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+4                                  python
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+3                            python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+4                            python
pyyaml                    3bcd4dccc5b99536f1d50e1a9026f982f74cb206  3.13                                     python,libyaml
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+9                                  python,numpy,scipy
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1                                    python
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+10                    cfitsio,wcslib,gsl,numpy
python_py                 fe1347d431593dfe05770f286b3070db4afaeffd  1.7.0                                    python
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb+1                   numpy,scipy
esutil                    dae48e722a28e0cf9585e2edafef9b520103e70f  0.6.2.5.lsst2+1                          python,numpy
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst                                 python,numpy,python_future
ndarray                   4efe0d171c211d5e266ddab6bcdee6b34f401e4f  1.5.2+1                                  boost,python,numpy,eigen,pybind11,fftw
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0                                    python,mpi
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+1                           python,numpy,pykg_config,cfitsio,astropy
matplotlib                1577d58593dcab1c7fc7a4bae30437297d8e71c5  2.2.2                                    python,numpy
firefly_client            aed8ac22315a448962b4322fc2f87eb0a42ec7eb  lsst-dev-gaed8ac2231                     ws4py,python_future
fgcm                      6c5abd46cab9e55959812dcdb741926cbc4b4528  lsst-dev-g6c5abd46ca                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4                              numpy,pyyaml
pytest                    e2a44db8088df514751154930bd648aede4d4c28  3.6.2.lsst2                              python,python_py
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d                     pybind11,scipy,numpy,eigen,proxmin
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+4                                  python,pytest,python_coverage
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst+1                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+13                                 python,pytest
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+13                                 python,pytest
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+5                              python,pytest
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5                                    python,python_mccabe,pycodestyle,pyflakes
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+5                           python,pytest,pytest_forked,python_execnet
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4                                    python,pytest,flake8
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2                                    python,flake8
sconsUtils                edfe9659e30797a970d6e8bc39e0787708ec6910  17.0.1                                   scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
base                      2df868b9b7c36216440322cb75358efe5fea4aea  17.0.1                                   sconsUtils,pybind11,python,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+62                               sconsUtils
verify_metrics            d6b74a99466da166c524102a43984a6431dc05a2  17.0.1                                   sconsUtils
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0.1                                   sconsUtils
pex_exceptions            cc1f4bb640c444f6dbb348b7748fddec5d26203c  17.0.1                                   base,boost,pybind11,python
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+66                    scons,sconsUtils
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0.1                                   base,sconsUtils,pybind11,doxygen
utils                     0a50484cacd0c1231aa1748dd2d4d005ebe49569  17.0.1                                   base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
psfex                     ee0c255054821e86103689bba663a75226793e5f  17.0.1                                   gsl,sconsUtils,fftw
astshim                   f92808934c903432245d509b0ef1ea73c4b0e30a  17.0.1                                   sconsUtils,ndarray,numpy,starlink_ast,pybind11
geom                      fd1767437df33cb529f0e06d34ca240144c4f8b9  17.0.1                                   boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       fc7ad86047093f74dd8ca335642327933b84762a  17.0.1                                   boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  bdf36360456c87a763fee75798c42c74f8a330af  17.0.1                                   utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator 6e72ed3b81f4d2015c61c43306aaa3d04aed9b9f  master-g6e72ed3b81+1                     scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  17.0.1                                   daf_base,utils,pybind11,python
pex_config                118c103b2092b22dfc0333887a79580d1cac6862  17.0.1                                   daf_base,pex_policy,numpy,utils,pybind11,python
daf_persistence           7c01f5cdf5342647f57f884bda4f6201d2c9d18a  17.0.1                                   log,pex_policy,astropy,pyyaml,pybind11,python
afw                       9e0d0724ee7dd51901d26c0dbd277557c39fad2f  17.0.1                                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
shapelet                  5400cdc3378685688cef0c74e55f6f86ea276657  17.0.1                                   afw,numpy,scons,sconsUtils,pybind11,scipy
dax_ppdb                  2880f2d8cfc594f348e8dfaa6ac08047672dea0a  17.0.1                                   afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
