# product                 SHA1                                      Version                       
BUILD=b3988
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
sims_skybrightness_data   f6dd53da85a24c7155bc28ab7476cf46ce1f4416  2017.05.05                               
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
pycodestyle               73cc0df77641c71983c1630411ce3fc1e80a0509  2.4.0                                    python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+3                                 python
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
python_py                 fe1347d431593dfe05770f286b3070db4afaeffd  1.7.0                                    python
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
boost                     c95036e05c29f825c366ecaa2ca50ab59fde8aca  1.68                                     python
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
pymssql                   02c450b095cda9e17f5425d9d05c4483169d95fc  2.1.1+8                                  python,freetds
ephem                     8f91afc3b39e4ab423d9b85ca9a41588741a2823  3.7.6.0+2                                python
numpy                     6d6b4336bca07656dc555711d538cb7f5de4c175  1.14.5                                   python
palpy                     8f3fcdb176c79aced1953296187ed79cdca82426  1.8.1+4                                  numpy,python
astropy                   f103417e2debfdf9faca903ba4e3601601def058  3.0.3                                    python
coord                     7309b208a04995ce3040490ec06eddee9bff6541  1.0.5.lsst2+1                            python,numpy,python_future
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1                                    python
sqlalchemy                17feb0b4fc40b855a9837d92f0866c50f1b56d0e  1.2.2+2                                  python
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+3                             cfitsio
pyyaml                    3bcd4dccc5b99536f1d50e1a9026f982f74cb206  3.13                                     python,libyaml
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+4                                  python
matplotlib                1577d58593dcab1c7fc7a4bae30437297d8e71c5  2.2.2                                    python,numpy
astropy_helpers           c974185938af36d23b47ac12165a5256c8950145  3.0.2.lsst+1                             python,numpy
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+10                    cfitsio,wcslib,gsl,numpy
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+1                            python
pyflakes                  c40c6e7aabfdd6cf53c2c4d55349faf0ed9ec659  2.0.0                                    python
sims_maps                 4c12c2007f711be5db64520fd72451dbb6ef7c24  2017.05.08-3-g4c12c20+1                  numpy,python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+2                                  python
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+3                            python
pytest                    e2a44db8088df514751154930bd648aede4d4c28  3.6.2.lsst1-1-ge2a44db+1                 python,python_py
scipy                     fed6564713e0334ccce262d64d8a85c828dc6c2d  1.1.0                                    python,numpy
ndarray                   4efe0d171c211d5e266ddab6bcdee6b34f401e4f  1.5.2+1                                  boost,python,numpy,eigen,pybind11,fftw
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+4                              python,pytest
esutil                    dae48e722a28e0cf9585e2edafef9b520103e70f  0.6.2.5.lsst2+1                          python,numpy
sncosmo                   32d22753c0cc8cf28a27a23f44cfb86ad64e46b3  1.3.0.lsst2+1                            python,numpy,astropy,astropy_helpers
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+3                                  python,pytest,python_coverage
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst                               scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb+1                   numpy,scipy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+9                                  python,numpy,scipy
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+1                           python,numpy,pykg_config,cfitsio,astropy
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+12                                 python,pytest
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+12                                 python,pytest
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+4                           python,pytest,pytest_forked,python_execnet
flake8                    5c00ee60f2f3c438cf9768f303462e359d230d7c  3.6.0+2                                  python,python_mccabe,pycodestyle,pyflakes
pep8_naming               26693fcbc65f3b263b3efab1fd1467def49ee270  0.7.0.lsst1+4                            python,flake8
pytest_flake8             39ba4274ec41a1cdac9efd1cd49a2619974f15db  1.0.1.lsst2+1                            python,pytest,flake8
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d                     pybind11,scipy,numpy,eigen,proxmin
sconsUtils                57c515d888139fa01e006e0231760431bc0679ac  16.0-15-g57c515d+2                       scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+130                                 sconsUtils
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf+17                       sconsUtils
base                      9321be75ef148c5d6fb6ba86f1576d75c0e7654f  16.0-6-g9321be7+4                        sconsUtils,pybind11,python,doxygen
astshim                   0febb12f172f6aa92958d4a456aa3fc7795f3087  16.0-2-g0febb12+21                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+20                       base,sconsUtils,pybind11,doxygen
pex_exceptions            a3eb7471d14be2321ba7c432ab41031f935d22dc  16.0-4-ga3eb747+10                       base,boost,pybind11,python
utils                     f0259e2ae3cb9fc996ed683e4e401918bc9bae2c  16.0-16-gf0259e2                         base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
log                       a8830df6ec65b1fe1c26acd9f9355f8c7a461d2b  16.0-2-ga8830df+6                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
sims_downtimeModel        8a5a8d51cf28864ed11c288e505abe1d9e20a834  master-g8a5a8d51cf+1                     utils
daf_base                  09ed895f7bc09c8c806d8351a8aff07f48ac6423  16.0-11-g09ed895+2                       utils,pex_exceptions,pybind11,python,numpy,pyyaml
sims_almanac              fc139f71ae533a5e87e3b6bc44ceafc42af58163  master-gfc139f71ae+1                     base,numpy,astropy,scipy,utils
geom                      dd5ca336533650b25d1a64206aade02d0267e29e  16.0-15-gdd5ca33+1                       boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
sims_survey_fields        1c3a41230679c4d6aa264953f1aaa77246c12316  2.6.0.sims+12                            numpy,python,utils
sims_utils                2aba68c2d73442d1ba539f9e019b48033b9fac5f  2.11.0.sims+6                            utils,python,python_future,palpy,astropy,healpy,sims_data
sims_photUtils            ba5b942a9359e7eceea918e8663e6225cfb49dfc  2.11.0.sims+6                            utils,sims_utils,python,throughputs,astropy
pex_policy                b13d127967f649535209e991ca4e1d467de003f7  16.0-4-gb13d127+6                        daf_base,utils,pybind11,python
sims_skybrightness        7ec41278affd08ffc905e4f4ab6ed154c3de1ce5  2.11.0.sims+6                            base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
sims_cloudModel           f3ce61a0aafdc34e611c1fc08968029070731495  master-gf3ce61a0aa+1                     utils,sims_utils
astro_metadata_translator 6f82b7b8ee44926cd7fa51ea2ebb4a1f975d7699  master-g6f82b7b8ee+3                     scons,sconsUtils,pyyaml,astropy,daf_base
