# product                 SHA1                                      Version                       
BUILD=b4602
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  master-g608677b38e                       
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  18.1.0-1-g6adf0a0                        
validation_data_cfht      8793f7ad03f1bf5fc8f18fcb6bc6827219117c3c  18.1.0-1-g8793f7a                        
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  master-g6aee438b98                       
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  18.1.0-1-g095be34                        
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  18.1.0-1-gd1c39c2                        
testdata_decam            0927df50e658bd74c7ca04e628220801769371b1  18.1.0-1-g0927df5                        
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
obs_lsst_data             ac8c27c4c23e16d1810f0071737ba296776fa35f  master-gac8c27c4c2                       
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+5                                  python
