# product                 SHA1                                      Version                       
BUILD=b4876
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
palpy                     a0b3ab3150c0800759dead7adbb0d930ca5562c3  tickets.DM-24742-ga0b3ab3150             
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
proxmin                   38c183851a4967b7ce7f5b3f63771a3f50d43ee8  lsst-dev-g38c183851a                     
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
astropy_helpers           6c4c5880fc7cd73be36a6f38042c4aaa4611bf81  tickets.DM-24742-g6c4c5880fc             
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  19.0.0-3-g62ccb58                        
sims_maps                 690cc68eddff5ae65e5556332ebd8d057a4cbd35  tickets.DM-24742-g690cc68edd             
freetds                   080fccb1ba675147d8a5c7e2418606678bc11713  tickets.DM-24742-g080fccb1ba             
pymssql                   3f3d62ec1a084f626906e725599ca95c4eb1a8d4  tickets.DM-24742-g3f3d62ec1a             freetds
throughputs               58f0f273b9c8458202f8d8061a4542c3c9f0ed75  2019.07.02-2-g58f0f27                    
sconsUtils                1fb10ab5aa3a5cd27d6d2968b9ecc7a53680e529  19.0.0-2-g1fb10ab                        
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
ephem                     24f3e2400edcf85c228fec5fec0b9191666c7d50  tickets.DM-24742-g24f3e2400e             
sncosmo                   7eac5a0f3b0917e0192056855f2686e8b4539e0c  tickets.DM-24742-g7eac5a0f3b             astropy_helpers
scarlet                   ccea6b4eda2307bb3d200385208aae9ee4c2df76  lsst-dev-gccea6b4eda                     proxmin
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f+5                      sconsUtils
base                      b4e00336b81dfab626fa5707e88ff4c93e92b26f  19.0.0-4-gb4e0033                        sconsUtils
astshim                   6e0b8f91565e7ab7231f7371301a23e965a6d9ff  19.0.0-2-g6e0b8f9                        sconsUtils
pex_exceptions            a84a0ef9fa2aaefbc298e5716407b571c84fcfd8  19.0.0-3-ga84a0ef+1                      base
sphgeom                   c70e9ede16c625a7a322e5ed2025ddd9ea0ea7e1  19.0.0-3-gc70e9ed+1                      base,sconsUtils
utils                     967c74770d2734af7464718a5683ae970cac0ea1  19.0.0-8-g967c747+1                      base,pex_exceptions
sims_utils                7cf5e9ce5c740bb36f47d9db4084e5f9d73ef1fd  tickets.DM-24742-g7cf5e9ce5c             utils,palpy,sims_data
sims_almanac              f8e8d8f36755d142e01f27fa665b1840aa034f65  tickets.DM-24742-gf8e8d8f367             base,utils
geom                      99a058eb8ed9d50faddcc3df4a2d996382094e6e  19.0.0-3-g99a058e+1                      sconsUtils,sphgeom,pex_exceptions,utils
sims_photUtils            fde2ee3cce17e61ba7980f3a0f9a4998f9e059cd  tickets.DM-24742-gfde2ee3cce             utils,sims_utils,throughputs
sims_survey_fields        5905d48dc78979366e6180bf5f72b75cf74245c2  tickets.DM-24742-g5905d48dc7             utils
daf_base                  4aada7329535d96c0c5125800b839f80c803726d  19.0.0-2-g4aada73+1                      utils,pex_exceptions
astro_metadata_translator 452a59e9cf4268ef7db2e3b299c8a1defc663f9f  0.1.0-11-g452a59e+1                      sconsUtils,daf_base
pex_config                3250e53b64f96ca00b0e895c38f208c2008b52e1  19.0.0-10-g3250e53+1                     daf_base
sims_skybrightness        a6289a6d0e4afb919607ac3a0d18d043477d3c2f  tickets.DM-24742-ga6289a6d0e             base,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data
ts_dateloc                6e1f74367b6f4ac75cda756ddd8ee3d421cd191f  tickets.DM-24742-g6e1f74367b             sims_utils,utils
log                       1faeb961858047ee983b475fa6eddf23a327089b  19.0.0-1-g1faeb96+1                      base,sconsUtils,utils
sims_downtimeModel        55f72efa65e9793de772e7accf868fc2f569c778  master-g55f72efa65+10                    utils,pex_config
sims_cloudModel           e3724df5295e741076d6596dd9a15e4ab9fb1348  master-ge3724df529+11                    utils,pex_config,sims_utils
ts_observatory_model      f22b923f34b7daf950d56d2401c38b12dcf1c82a  tickets.DM-24742-gf22b923f34             ts_dateloc,utils
sims_skybrightness_pre    e8bda3dcca447c4fe48032aaf5db5ccccc3edd3c  tickets.DM-24742-ge8bda3dcca             sims_utils,sims_survey_fields,ephem,sims_skybrightness
