# product                 SHA1                                      Version                       
BUILD=b4857
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  19.0.0-3-g62ccb58                        
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  19.0.0-3-g489cb8a                        
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  19.0.0-1-g81f4c9d                        
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
testdata_decam            9a3ee7c47e5b744c6385fc735f964c043f1ce9c8  19.0.0-2-g9a3ee7c                        
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
python_mccabe             86ed08f574f8482e562f95e461fcf8a3ec561f00  0.6.1.lsst2                              python
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
pytest_session2file       c58ee1678f3d857602a6af30cc331913e41f667b  0.1.9-1-gc58ee16                         python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+2                                  python,mpi
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
astropy                   5006c745bb1dd6a583acc34b11ea3986ca462b95  3.1.2.lsst2                              python
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+5                                  python
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
pybind11                  ccb1d112055e50d0656bf402608954a1d1b9a778  2.2.4.lsst2                              python,numpy,eigen
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+3                            numpy,pyyaml
firefly_client            97c9674977b979349adf7f2921ae6fd0c842797f  2.2.0.lsst1                              ws4py,python_future
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+4                                  python,python_mccabe,pycodestyle,pyflakes
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+5                           python,numpy,pykg_config,cfitsio,astropy
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+4                                  python,flake8
proxmin                   efd6ccc7f71efbdf2a095564ef82b222f0b31d8c  lsst-dev-gefd6ccc7f7                     numpy,scipy
ndarray                   831f82a25e2661df79f318c5887fb7b3407311f8  1.5.3.lsst2                              boost,python,numpy,eigen,pybind11,fftw
scarlet                   5b72d4495c8d369d207a9c93f8e53ed665dbcc38  lsst-dev-g5b72d4495c+1                   pybind11,scipy,numpy,eigen,proxmin,autograd
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst+3                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
pytest_flake8             8dd8c06520ce9a769d5fabb76d0b77e7d8d867c5  1.0.4-1-g8dd8c06+1                       python,flake8
fgcm                      78fc56007b9da3548bafb4b09c9487c37a2b917b  lsst-dev-g78fc56007b                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
sconsUtils                80d16084e44ef2b6e6eff4ed4e3f7433b06ef453  19.0.0-1-g80d1608                        scons,pytest_flake8,pep8_naming,pytest_session2file,doxygen
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+12                    scons,sconsUtils
astshim                   a72da6bbfa9d1fec5e5d87d1aa560234f2b95958  19.0.0-1-ga72da6b+3                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+7                        sconsUtils
base                      9675b69d53decfd7a17e052ec242fb5a4253b6ae  19.0.0-2-g9675b69+3                      sconsUtils,pybind11,python,doxygen
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f+2                      sconsUtils
psfex                     5e8aa59c6dbaae97c74fd7e428ac9be0ad6ea262  19.0.0-1-g5e8aa59                        gsl,sconsUtils,fftw
pex_exceptions            aa2795f503fef27e20178c6946edba0ca87fcf2e  19.0.0-2-gaa2795f                        base,boost,pybind11,python
sphgeom                   bcc4de1aecb4d8687a83df19f1d8ecb0938249b0  19.0.0-2-gbcc4de1                        base,sconsUtils,pybind11,doxygen
utils                     686a884ec18b5a6267ea32289b315f2d3bb31c30  19.0.0-7-g686a884+5                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
geom                      de8e5e3b60ee950df6a6c88af15d8ccb4d53eb24  19.0.0-2-gde8e5e3+5                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
