# product                 SHA1                                      Version                       
BUILD=b5955
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  g294ccec69c                              
alert_packet              6179d27fb4a8328427f55fdd5d97b2e08a4e358d  g6179d27fb4                              
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  g5887cb02c7                              
ap_verify_testdata        24c69b71f5af4b830d69995bdf83a158d22a7764  g24c69b71f5                              
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  g398bedf734                              
fgcm                      93e57c359b747dfd408ef66f528f19ae431bf63a  g93e57c359b                              
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  gc3e517dea3                              
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  gbdb8a927be                              
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  g2f68bc2906                              
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  g86cffb07a8                              
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  g79c0498783                              
sconsUtils                391a827bf7ccf0b4ed8cd85b153708423437dca2  g391a827bf7                              
sdm_schemas               fe263b5aeaaaba2c9826a6365671eb14c26b88fa  gfe263b5aea                              
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  ga65e6c79fd                              
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  g2cc488a7b8                              
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  g4c8566d46b                              
testdata_jointcal         76a28315300e56f8a95005c0e2deacf96e8720d4  g76a2831530                              
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  gbf01ab0e16                              
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  g617ce97910                              
astshim                   545b398f03e7ae468f27a5686b2434415c73109c  g545b398f03+8827c0d83c                   sconsUtils
base                      c17f1a8c7dd5c65572c9707fd416c6e2132646dc  gc17f1a8c7d+8827c0d83c                   sconsUtils
dustmaps_cachedata        41a3ec361e020feb5d91f4807f97f14fa40a6ae7  g41a3ec361e+8827c0d83c                   sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  gaea3fc0611+8827c0d83c                   sconsUtils
kht                       14ffe67dc213e67ddceddbca8aa16c8435674325  g14ffe67dc2+fe93bf5141                   eigen
psfex                     57437a15a7692a36fb9b6f02abddd16ce4a51df2  g57437a15a7+8827c0d83c                   sconsUtils
scarlet                   b4b49c695e223b885a8d98a1711037b41458a6f7  gb4b49c695e+f31336177f                   proxmin
sphgeom                   fb2c8f9998c87dedb1e394b3696a15d30ce4ddbb  gfb2c8f9998+8827c0d83c                   sconsUtils
verify_metrics            80d799c5c9b5a54d55f0550f35195cad4edae7ff  g80d799c5c9+8827c0d83c                   sconsUtils
pex_exceptions            958458c828f35b233f9e33c6757fbdaa4c1dda3e  g958458c828+2839580c93                   base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  g9d18589735+64a50c43f9                   scarlet
cpputils                  1ffd6c4751639a67d0fc06f795875e440db1bff6  g1ffd6c4751+d92be1c9b5                   base,pex_exceptions
utils                     517bd563f71f7ab1a4a4028f0e6a5172bc99c5b8  g517bd563f7+a74f9c4057                   cpputils,sconsUtils
daf_base                  a37ec21fd798fd468259a1bf94e5a20df8a93c9d  ga37ec21fd7+ec7cfd4ed0                   utils,cpputils,pex_exceptions
geom                      521f3c57bae73d8cea944725bcf732632e7950ce  g521f3c57ba+aa83becb7c                   sconsUtils,sphgeom,pex_exceptions,utils,cpputils
log                       d27fc4adddcd693a3676256514bd28d3fe4892ab  gd27fc4addd+ec7cfd4ed0                   sconsUtils,utils
resources                 04ba59dc9dd636f3ffef024687be2945fe161700  g04ba59dc9d+ec7cfd4ed0                   sconsUtils,utils
astro_metadata_translator fc6a95e243db1a0d06bf8971ea7bb964824e551a  gfc6a95e243+3b73b15e11                   sconsUtils,daf_base
daf_butler                294c620073dc5186e87c9098cff9c36a8840e352  g294c620073+f23813395d                   sphgeom,sconsUtils,utils,resources
pex_config                c9a196ae7d7c64fc923095a504f4997f4d4a16fe  gc9a196ae7d+3b73b15e11                   daf_base
daf_persistence           6a31054a6e190c0130a42d9a3bbd65e6fb007a11  g6a31054a6e+665994696b                   utils,log,daf_base,pex_config
dax_apdb                  d4f24f6172600f96efed597a2e8c1de9a5891abe  gd4f24f6172+16051f7790                   geom,daf_base,pex_config,sconsUtils,sphgeom,utils
afw                       5c39d4753be550312451416925753d6985ef8068  g5c39d4753b+40db9fb9f3                   daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
ctrl_orca                 56b4a02df4ae457b23f06fcd017db3bd154193b4  g56b4a02df4+2fdc289311                   utils,pex_config,daf_persistence,log
cbp                       aebe1cbaf0a5225dba25a498f914b0b2827f15c1  gaebe1cbaf0+eec352b1dd                   geom,sphgeom,afw
ctrl_execute              21dfb85fb4be3163014c3ef921f9bda47223d04c  g21dfb85fb4+61524f5807                   ctrl_orca,pex_config,utils
display_ds9               faaac7f73f47ca023402d012ad3c6aa0ba9c3a28  gfaaac7f73f+eec352b1dd                   afw
display_firefly           d2200cecb0cabf95ab4f0169b90de36e27904439  gd2200cecb0+eec352b1dd                   afw,geom,log
display_matplotlib        bdd1c81305d7b1ec58b54b26418586500ccc7d91  gbdd1c81305+eec352b1dd                   afw
pipe_base                 baa8aadca71824e9404cdc825cc26edf193cd6e3  gbaa8aadca7+226c43d0a5                   daf_butler,daf_persistence,log,pex_config,utils,afw,resources
shapelet                  d79a88f3f0059d59ea8f561212266f266479a24a  gd79a88f3f0+eec352b1dd                   afw,sconsUtils,geom
skymap                    d8df4e7cf5db75582f33421c585487562bdb53fd  gd8df4e7cf5+226c43d0a5                   sphgeom,geom,afw,daf_butler
