# product                 SHA1                                      Version                       
BUILD=b4604
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
dax_ppdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  18.1.0-2-ge272bc4                        
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  18.1.0                                   
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  18.1.0                                   
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  master-g6aee438b98                       
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
astropy                   b0b7760bd505a8167b507de06c871b84daf1b494  3.1.2                                    python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+6                            python
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  18.1.0-1-g095be34                        
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
obs_lsst_data             ff894085696836c9fb09a023e04c41019f52cfb1  master-gff89408569                       
testdata_decam            0927df50e658bd74c7ca04e628220801769371b1  18.1.0-1-g0927df5                        
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  master-g608677b38e                       
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
pytest_session2file       c58ee1678f3d857602a6af30cc331913e41f667b  0.1.9-1-gc58ee16                         python
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
python_mccabe             86ed08f574f8482e562f95e461fcf8a3ec561f00  0.6.1-1-g86ed08f                         python
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+5                                  python
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+2                                  python,mpi
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+3                           python,numpy,pykg_config,cfitsio,astropy
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+3                                  python,python_mccabe,pycodestyle,pyflakes
pytest_flake8             8dd8c06520ce9a769d5fabb76d0b77e7d8d867c5  1.0.4-1-g8dd8c06                         python,flake8
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+3                            numpy,pyyaml
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+2                            python,numpy,eigen
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
fgcm                      321fba8858e9f55073d760a2cfab5747056fea39  lsst-dev-g321fba8858                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
firefly_client            97c9674977b979349adf7f2921ae6fd0c842797f  lsst-dev-g97c9674977                     ws4py,python_future
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3+2                                  boost,python,numpy,eigen,pybind11,fftw
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst                               scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+3                                  python,flake8
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
proxmin                   f7baf2a6dd8484a0f9097517890d03bb8b98e424  lsst-dev-gf7baf2a6dd                     numpy,scipy
sconsUtils                42516564a984c28774fbfeac9483dd7668ac985a  18.1.0-5-g4251656                        scons,pytest_flake8,pep8_naming,pytest_session2file,doxygen
scarlet                   169b417050aaea67c2b8c9a755e8017298b05816  lsst-dev-g169b417050                     pybind11,scipy,numpy,eigen,proxmin,autograd
astshim                   a2c679d23199d2f0338a2b0884f894e363b737ef  18.1.0-1-ga2c679d+1                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+4                        sconsUtils
verify_metrics            872f9b593eec305ae4691dcea1e9d575c56f0011  18.1.0-2-g872f9b5+3                      sconsUtils
base                      7e8fceb13a14b024c229662841bee39270758fa2  18.1.0-1-g7e8fceb+4                      sconsUtils,pybind11,python,doxygen
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+9                     scons,sconsUtils
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  18.1.0+5                                 sconsUtils
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  18.1.0-1-g5315e5e+4                      base,boost,pybind11,python
utils                     1dd662bf0dfc356591e8e0171d857d4ac5b00d50  18.1.0-5-g1dd662b+2                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  18.1.0+5                                 base,sconsUtils,pybind11,doxygen
psfex                     ee0c255054821e86103689bba663a75226793e5f  18.1.0+1                                 gsl,sconsUtils,fftw
geom                      8ff0b9f358dcc74bb5122178a9336a337648d6fc  18.1.0-1-g8ff0b9f+5                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       03d53ef8083cf25d560524726eea15af535ff53a  18.1.0-1-g03d53ef+5                      boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  68ffd23a201df9d8f8ace46df14039b339261ffa  18.0.0-4-g68ffd23+4                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator 1039c3cf3b52ca551fb6cc8a5acc970e2c763ba7  0.1.0-5-g1039c3c+4                       scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  18.1.0-1-g0001055+12                     daf_base,utils,pybind11,python
pex_config                ae7742993c3fa92bf5ac1d9ab0c298c95e81930a  18.1.0-6-gae77429+3                      numpy,pybind11,python,daf_base,pex_policy
daf_persistence           5e4b7eaaff07baf724c43a67eea22ee864980889  18.1.0-1-g5e4b7ea+14                     log,pex_policy,astropy,pyyaml,pybind11,python
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  18.1.0+1                                 python_future,utils,pex_config,daf_persistence,log
afw                       d8786685a889d9c94e279327d68a2888e50e6bfb  18.1.0-32-gd8786685a+1                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_firefly           52aa583fe9fd08f1fc6eca2e2caa063c34d1bd76  18.1.0-3-g52aa583+26                     afw,geom,log,firefly_client,python_future
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  18.1.0+1                                 afw,xpa,pybind11
shapelet                  d3b74e5d8ac3b3914a6e63e8254da9dcc686e61f  18.1.0-2-gd3b74e5+13                     afw,numpy,scons,sconsUtils,pybind11,geom,scipy
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  18.1.0+1                                 afw,matplotlib,python_future
ctrl_execute              98c77ba7403588afffb25719809b317b757890ae  18.1.0+1                                 python_future,ctrl_orca,pex_config,utils
daf_butler                4bec85e4d8d00f3ad626542655cdc290bf6f8049  18.1.0-35-g4bec85e+5                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  18.1.0-2-g5f9922c+25                     numpy,sphgeom,geom,afw,daf_butler,healpy
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.1.0+1                                 ctrl_execute
