# product                 SHA1                                      Version                       
BUILD=b4787
fgcm                      eb24413433721e758ffc5b1d40d2ea00e837dd26  tickets.DM-23835-geb24413433             
firefly_client            2f7191361c95bf70c3c206c0a249e7b5c0d47077  tickets.DM-23835-g2f7191361c             
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
proxmin                   9ef6562b68df5f7a32e27fc65bfdcc9a670c5547  tickets.DM-23835-g9ef6562b68             
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
testdata_decam            ceb8033df3cfb72258b34257bac1b2649f7282dc  tickets.DM-23835-gceb8033df3             
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
obs_lsst_data             ac8c27c4c23e16d1810f0071737ba296776fa35f  tickets.DM-23835-gac8c27c4c2             
sconsUtils                bdbbd40d45b88a7fb074dc76be63cbfdb9db2453  tickets.DM-23835-gbdbbd40d45             
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  tickets.DM-23835-g8af30cc6ee             
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  tickets.DM-23835-g81f4c9d68c             
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0+11                                  sconsUtils
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f+3                      sconsUtils
scarlet                   505857978430f0ef058a2d8786c174d993581d92  tickets.DM-23835-g5058579784             proxmin
jointcal_cholmod          6983b14497c1091da20920a86c9dc2b4146b0178  tickets.DM-23835-g6983b14497             sconsUtils
base                      79916f63b5c92d2df3d8a0c76ee57bcb9fe00b4a  tickets.DM-23835-g79916f63b5             sconsUtils
psfex                     26b66986980ca9dd7205929393573124d533b0ac  tickets.DM-23835-g26b6698698             sconsUtils
astshim                   6b7c2f671fa580af0642cadf2843ff620009bd08  tickets.DM-23835-g6b7c2f671f             sconsUtils
pex_exceptions            9970d2ee910ded7435bb7ee3f238cd7052fe81ba  tickets.DM-23835-g9970d2ee91             base
sphgeom                   c343bd300a44c1ccdf2e553225a42d100419ff96  tickets.DM-23835-gc343bd300a             base,sconsUtils
utils                     cc4927c4f11aaa6e4c787a46749df1527aabc95e  tickets.DM-23835-gcc4927c4f1             base,pex_exceptions
log                       a043d0ed6099c290f9db46cebc527c44836e1a7e  tickets.DM-23835-ga043d0ed60             base,sconsUtils,utils
geom                      1b0a77db9fb65d029cb05b449ee4f0e9ad0a8ace  tickets.DM-23835-g1b0a77db9f             sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  c4ebd1af5c8109588ecd71228458036329f3ab7c  tickets.DM-23835-gc4ebd1af5c             utils,pex_exceptions
