# product                 SHA1                                      Version                       
BUILD=b5392
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  21.0.0-2-g294ccec                        
alert_packet              bd80f2fea6adf7b6422ea136fa3ef48ea7252c1a  master-gbd80f2fea6                       
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  21.0.0-2-g5887cb0                        
ap_verify_testdata        849605895c4fa3fd5a7b851ef7af37f37251cfe1  21.0.0-3-g8496058                        
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
fgcm                      14fa2066fbb262fa6e22ecd1c598720b4c980af3  lsst-dev-g14fa2066fb                     
firefly_client            508dc7262a76850e0095defb6fae06e0adb234e0  2.2.0.lsst2                              
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  21.0.0-2-gc3e517d                        
obs_lsst_data             7ccd7437d5e623a67da97dd70389f5e8e6203e2c  21.0.0-1-g7ccd743                        
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  21.0.0-1-g2f68bc2                        
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  21.0.0-1-g86cffb0                        
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                8076a8c1c613e89e6189a9643191adeffd1bd8a4  21.0.0-6-g8076a8c                        
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  21.0.0-1-ga65e6c7                        
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  21.0.0-1-g2cc488a                        
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  21.0.0-1-g4c8566d                        
testdata_jointcal         c623574d8da8c73cdd5701cd56fa793d62772bde  21.0.0-4-gc623574                        
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  21.0.0-1-gbf01ab0                        
validation_data_cfht      e74e1c8039631b2905b06fc4480a3acbb3d4a3bf  21.0.0-1-ge74e1c8                        
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  21.0.0-1-g617ce97                        
astshim                   45278abf610f9a7a7b3c196036ebd947350239c0  21.0.0-2-g45278ab+6f2de0f266             sconsUtils
base                      2d4f3f30c3cdbf3269b84f72f575b11a8513d2c7  21.0.0-6-g2d4f3f3+6f2de0f266             sconsUtils
dustmaps_cachedata        d5d683fb325c2522198be68c8b6af2cb112e17b7  master-gd5d683fb32+6f2de0f266            sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  master-gaea3fc0611+6f2de0f266            sconsUtils
kht                       14ffe67dc213e67ddceddbca8aa16c8435674325  lsst-dev-g14ffe67dc2+fe93bf5141          eigen
psfex                     03166ead61cbb037746f035884a4bf5b4b309ffc  21.0.0-2-g03166ea+6f2de0f266             sconsUtils
scarlet                   965bb5fbbf567aa5dac626ad343ccef168ebe0b2  lsst-dev-g965bb5fbbf+f31336177f          proxmin
sdm_schemas               e52cb69ccc5d4959425537ae5b32086cc34b9a04  21.0.0-1-ge52cb69+6f2de0f266             sconsUtils
sphgeom                   fbfe50006416b39f0c25c3da25b096e728c9d150  21.0.0+6f2de0f266                        sconsUtils
verify_metrics            fc7673741d2795e112ede45b5c5ee777f7a9e239  21.0.0-2-gfc76737+6f2de0f266             sconsUtils
pex_exceptions            de069b70e5abe0cb21eda8786941313c025a7f21  21.0.0-2-gde069b7+3c0e028672             base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  21.0.0+5de2e29f4b                        scarlet
utils                     ccdca77bdefc36ce86aed0d8ac1373901374824d  21.0.0-4-gccdca77+44d8eafcc6             base,pex_exceptions
daf_base                  f910f653d804b5cfbc1ae856b27ecda95f55ca9e  21.0.0+be20e18982                        utils,pex_exceptions
daf_butler                cdc6dc3949a77d3b69ae027f2f645167981900f8  21.0.0-53-gcdc6dc39+950fb5a2aa           sphgeom,sconsUtils,utils
geom                      8f08a60d1b1f7a077573a4bbd290ae203e610bcf  21.0.0-2-g8f08a60+950fb5a2aa             sconsUtils,sphgeom,pex_exceptions,utils
log                       7d9da8dabb389c39f5532bcd5b6dddc67770fd64  21.0.0-3-g7d9da8d+be20e18982             base,sconsUtils,utils
astro_metadata_translator 86269e83436f3eedeb518cc3a00221a90c3aee62  0.1.0-22-g86269e8+9d24dc0b25             sconsUtils,daf_base
daf_persistence           98eecf7051560466706c9036cb6ed34c0b16f942  21.0.0-7-g98eecf7+a3bec23c38             utils,log,daf_base
pex_config                a51b5d4678a70284aacf13abefed49efedf331ba  21.0.0-1-ga51b5d4+9d24dc0b25             daf_base
afw                       5d80ea29eba1f5ae9e930f71ac7e47e2a11f46c7  21.0.0-21-g5d80ea29e+1c7bc1269f          daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
