# product                 SHA1                                      Version                       
BUILD=b4995
lua                       c7ee4ab3e82bd449d793266b575d16dbb37b1a58  5.3.4-2-gc7ee4ab                         
mariadb                   86638867cfce2fa02b4d85f987ae095b27df3f25  10.2.14.lsst3-2-g8663886                 
antlr4                    ab7ad61352339393c9de0682c14e8d9be3d3c1fc  4.7.1.lsst3                              
sconsUtils                c4fbba5115c247242fa884bc828940457baae49a  20.0.0-1-gc4fbba5                        
xrootd                    0837e71e83b2db8d5ae5188811d6a80bf04a53c3  lsst-dev-g0837e71e83                     
hiredis                   825f5a91c56b242b8d536cbd4be31e462739454b  master-g825f5a91c5                       
base                      082faa5fe967e37eaf3f5f7b66b34b56eaf7d6db  20.0.0-3-g082faa5+1                      sconsUtils
mysqlproxy                9882a7ccab953b7eb8b286e2fc7e51904c63676e  lsst-dev-g9882a7ccab                     lua,mariadb
scisql                    d3ee28a379ff8cb64fea1ca7a8534d013adef5ad  0.3.9-1-gd3ee28a                         mariadb
pex_exceptions            5a8b32307a533f330184baf2541fdc992f91826a  20.0.0+2                                 base
redis_plus_plus           e0661a33615bb0c8109f54eda58e3e0321e85e0f  master-ge0661a3361                       hiredis
sphgeom                   d11eedafa415e6ec3498dc663d2fed09ba685267  20.0.0-2-gd11eeda                        base,sconsUtils
utils                     920eed2ca375a5ab36af36a63d6bc2c3a1d03ef1  20.0.0+2                                 base,pex_exceptions
partition                 fbacfff4b4f5e460d1192613662374d64067db58  12.1-2-gfbacfff+4                        sconsUtils,sphgeom
log                       d1c87d7f0f5a2c9ef125d15c199cea59e2a3ada4  20.0.0-1-gd1c87d7+1                      base,sconsUtils,utils
db                        9be925f68d4afe58e9ee2864f9f526f8f3e11b67  15.0-2-g9be925f+3                        log,sconsUtils
qserv                     2b49e7d843743301d912f79b9215e51990812fce  12.1-306-g2b49e7d84                      antlr4,db,log,lua,mariadb,mysqlproxy,partition,redis_plus_plus,scisql,sphgeom,xrootd
qserv_testdata            9183a475fa3545e22ecc0c39eece7776d61d35b4  2016_08-33-g9183a47+13                   qserv,sconsUtils
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+304                   qserv,partition,qserv_testdata
