# product                 SHA1                                      Version                       
BUILD=b5921
antlr4                    ab7ad61352339393c9de0682c14e8d9be3d3c1fc  4.7.1.lsst3                              
hiredis                   825f5a91c56b242b8d536cbd4be31e462739454b  main-g825f5a91c5                         
lua                       c7ee4ab3e82bd449d793266b575d16dbb37b1a58  main-gc7ee4ab3e8                         
mariadb                   86638867cfce2fa02b4d85f987ae095b27df3f25  main-g86638867cf                         
sconsUtils                b7d2e960379d52d17f72a1d810f236008d914d44  main-gb7d2e96037                         
xrootd                    5b015dcebcd4b8c62a2534238582eab1266f728f  affinity-flex-hash-g5b015dcebc           
base                      c17f1a8c7dd5c65572c9707fd416c6e2132646dc  main-gc17f1a8c7d+f3d053c481              sconsUtils
mysqlproxy                9882a7ccab953b7eb8b286e2fc7e51904c63676e  lsst-dev-g9882a7ccab+99b3b1a7ba          lua,mariadb
redis_plus_plus           e0661a33615bb0c8109f54eda58e3e0321e85e0f  main-ge0661a3361+925b38c994              hiredis
scisql                    f586b0340bebd0c1395de90f138e0208d8eed488  0.3.10+eff62e5ec7                        mariadb
sphgeom                   fb2c8f9998c87dedb1e394b3696a15d30ce4ddbb  main-gfb2c8f9998+f3d053c481              sconsUtils
partition                 dd298a6529ed9688dbbf009c7ab95460984b183e  main-gdd298a6529+f690dfea6e              sconsUtils,sphgeom
pex_exceptions            958458c828f35b233f9e33c6757fbdaa4c1dda3e  main-g958458c828+19c07f3325              base
cpputils                  1ffd6c4751639a67d0fc06f795875e440db1bff6  main-g1ffd6c4751+5f4f369930              base,pex_exceptions
utils                     7409401826b4e93853e608478bd289359509c37f  main-g7409401826+fe49bdc73c              cpputils,sconsUtils
log                       d27fc4adddcd693a3676256514bd28d3fe4892ab  main-gd27fc4addd+b55bf28439              sconsUtils,utils
db                        dc2b393a8f801f9ef5ee41d08ee52b4b603fc441  main-gdc2b393a8f+7cf6e0e788              log,sconsUtils
qserv                     d914107d0049cc318a2541d1b5e8810c72b537de  qserv-classic-gd914107d00+40b9b0af47     antlr4,db,log,lua,mariadb,mysqlproxy,partition,redis_plus_plus,scisql,sphgeom,xrootd
qserv_testdata            341dbd5c70070e365e3feb0e28f98f97dca59592  main-g341dbd5c70+1f9b8e8ddb              qserv,sconsUtils
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2021.6.3-rc1+47494e6769                  qserv,partition,qserv_testdata
