# product                 SHA1                                      Version                       
BUILD=b5883
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  22.0.0                                   
alert_packet              476a544beadecb4a1dcbd1190149b33c8e6da88a  main-g476a544bea                         
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  22.0.0                                   
ap_verify_testdata        24c69b71f5af4b830d69995bdf83a158d22a7764  main-g24c69b71f5                         
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  main-g398bedf734                         
fgcm                      93e57c359b747dfd408ef66f528f19ae431bf63a  lsst-dev-g93e57c359b                     
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  22.0.0                                   
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  main-gbdb8a927be                         
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  22.0.0                                   
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  22.0.0                                   
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                364cdc5b364f7bfac3db0719a08a4d153c3fe644  main-g364cdc5b36                         
sdm_schemas               4fa7b0d2bededba5cbd2b7ea81cbe55305004fd8  main-g4fa7b0d2be                         
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  22.0.0                                   
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  22.0.0                                   
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  22.0.0                                   
testdata_jointcal         7cf939d2c7b2657a1d21aca2708be5777cfc174d  22.0.0                                   
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  22.0.0                                   
validation_data_cfht      e74e1c8039631b2905b06fc4480a3acbb3d4a3bf  22.0.0                                   
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  22.0.0                                   
astshim                   545b398f03e7ae468f27a5686b2434415c73109c  main-g545b398f03+1b4e7dc7c0              sconsUtils
base                      b9f71e8e0dc7712c9039b151b4eff6169d72fcbe  main-gb9f71e8e0d+1b4e7dc7c0              sconsUtils
dustmaps_cachedata        41a3ec361e020feb5d91f4807f97f14fa40a6ae7  main-g41a3ec361e+1b4e7dc7c0              sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  main-gaea3fc0611+1b4e7dc7c0              sconsUtils
kht                       14ffe67dc213e67ddceddbca8aa16c8435674325  lsst-dev-g14ffe67dc2+fe93bf5141          eigen
psfex                     57437a15a7692a36fb9b6f02abddd16ce4a51df2  main-g57437a15a7+1b4e7dc7c0              sconsUtils
scarlet                   b4b49c695e223b885a8d98a1711037b41458a6f7  lsst-dev-gb4b49c695e+f31336177f          proxmin
sphgeom                   fb2c8f9998c87dedb1e394b3696a15d30ce4ddbb  main-gfb2c8f9998+1b4e7dc7c0              sconsUtils
verify_metrics            80d799c5c9b5a54d55f0550f35195cad4edae7ff  main-g80d799c5c9+1b4e7dc7c0              sconsUtils
pex_exceptions            958458c828f35b233f9e33c6757fbdaa4c1dda3e  main-g958458c828+d34a7efdbc              base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  lsst-dev-g9d18589735+64a50c43f9          scarlet
cpputils                  1ffd6c4751639a67d0fc06f795875e440db1bff6  main-g1ffd6c4751+af2cfb9f12              base,pex_exceptions
utils                     35b5ff8b93d8f3b2c4223e104337333922765a90  main-g35b5ff8b93+715009d772              cpputils,sconsUtils
daf_base                  a0fea23a219ee1c03e75327dcbbb90834d5bcc68  main-ga0fea23a21+bcc2ca0142              utils,cpputils,pex_exceptions
daf_butler                7b2c2f73e04ec48e5ebd74d301eca9983ee55273  main-g7b2c2f73e0+4a00534000              sphgeom,sconsUtils,utils
geom                      55b2fe329096c8fa80c6f1dbe6d65aeb7c89a5f8  main-g55b2fe3290+4a00534000              sconsUtils,sphgeom,pex_exceptions,utils,cpputils
log                       a637823975eec0ad697002f1cc66c9d84091a1f7  main-ga637823975+bcc2ca0142              sconsUtils,utils
astro_metadata_translator fc6a95e243db1a0d06bf8971ea7bb964824e551a  main-gfc6a95e243+8e4c10ac41              sconsUtils,daf_base
pex_config                fde1bd31dbb51a75423a5f312b635a9c1d36a706  main-gfde1bd31db+8e4c10ac41              daf_base
daf_persistence           6a31054a6e190c0130a42d9a3bbd65e6fb007a11  main-g6a31054a6e+172f7b4742              utils,log,daf_base,pex_config
dax_apdb                  dd199810f145ef5d66300a4f2efd7ea9536186d0  main-gdd199810f1+53ffec75fc              geom,daf_base,pex_config,sconsUtils,sphgeom,utils
afw                       f2a78aa89af373cbf5641be2d096a4ead175e21a  main-gf2a78aa89a+4411a1830c              daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
ctrl_orca                 56b4a02df4ae457b23f06fcd017db3bd154193b4  main-g56b4a02df4+d3af9bfc3b              utils,pex_config,daf_persistence,log
