# product                 SHA1                                      Version                       
BUILD=b4060
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
sims_skybrightness_data   f6dd53da85a24c7155bc28ab7476cf46ce1f4416  2017.05.05                               
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+1                            python
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+2                                  python
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1                                    python
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+3                             cfitsio
boost                     c95036e05c29f825c366ecaa2ca50ab59fde8aca  1.68                                     python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+3                                 python
sqlalchemy                b10e179a4fb2e544ed6b44be81e6534b1b267aa4  1.2.16                                   python
numpy                     6d6b4336bca07656dc555711d538cb7f5de4c175  1.14.5                                   python
coord                     7309b208a04995ce3040490ec06eddee9bff6541  1.0.5.lsst2+1                            python,numpy,python_future
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0                                    python
astropy_helpers           c974185938af36d23b47ac12165a5256c8950145  3.0.2.lsst+1                             python,numpy
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0                                    python
sims_maps                 4c12c2007f711be5db64520fd72451dbb6ef7c24  2017.05.08-3-g4c12c20+1                  numpy,python
astropy                   f103417e2debfdf9faca903ba4e3601601def058  3.0.3                                    python
palpy                     8f3fcdb176c79aced1953296187ed79cdca82426  1.8.1+4                                  numpy,python
pymssql                   02c450b095cda9e17f5425d9d05c4483169d95fc  2.1.1+8                                  python,freetds
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+4                                  python
python_py                 fe1347d431593dfe05770f286b3070db4afaeffd  1.7.0                                    python
ephem                     8f91afc3b39e4ab423d9b85ca9a41588741a2823  3.7.6.0+2                                python
