# product                 SHA1                                      Version                       
BUILD=b5250
afwdata                   fb580e5660c742a57a6986133b051b2e84170121  21.0.0-1-gfb580e5                        
astropy_helpers           9c76ab20764baf2335cbd254d274addf80fd6c80  3.0.2.lsst-1-g9c76ab2                    
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
ephem                     6182364ef5d674c8f0765ee00779fcfe7ab23a50  3.7.6.0-1-g6182364                       
freetds                   0735e0852765cf374c258482c5b9a295c0459975  0.91.112.lsst2-1-g0735e08                
obs_lsst_data             7ccd7437d5e623a67da97dd70389f5e8e6203e2c  21.0.0-1-g7ccd743                        
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  21.0.0-1-g86cffb0                        
palpy                     a7803970ea9fbca76a1481d3e46fd5b1af9d7158  1.8.1-1-ga780397                         
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                a709d62affe96aa58bf4f810bd9963ed9909c919  21.0.0-1-ga709d62                        
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
sims_maps                 0ef023c6f588958f04bc13aebe43f0e66c2bb5cf  2017.05.08-11-g0ef023c                   
sims_sed_library          5b328a8624af10bcd6eeab6148384ea206a2de43  2017.01.24-1-g5b328a8                    
sims_skybrightness_data   f1b24993bd8437ee33f210b598d66523bedffb07  2017.05.05-2-gf1b2499                    
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  21.0.0-1-g2cc488a                        
throughputs               58f0f273b9c8458202f8d8061a4542c3c9f0ed75  2019.07.02-2-g58f0f27                    
astshim                   45278abf610f9a7a7b3c196036ebd947350239c0  21.0.0-2-g45278ab+4fcf437b75             sconsUtils
base                      5051ac27f85afd50de03565743aaaa67479a0063  21.0.0-3-g5051ac2+4fcf437b75             sconsUtils
kht                       85ae2b958399c0514c27a9928c036c494fbbc2b8  lsst-dev-g85ae2b9583+fe93bf5141          eigen
psfex                     03166ead61cbb037746f035884a4bf5b4b309ffc  21.0.0-2-g03166ea+4fcf437b75             sconsUtils
pymssql                   b0e77e5799637dc339a54093d2ad130abfe539a0  2.1.1-1-gb0e77e5+ad9f4941ed              freetds
scarlet                   accceaf1d02f82043df7ceaf3a49e5e934bec234  lsst-dev-gaccceaf1d0+f31336177f          proxmin
sncosmo                   418c6ad3ea5f6404bef92b0c09d4ea155b78b2d9  1.3.0.lsst2-4-g418c6ad+a276e85521        astropy_helpers
sphgeom                   fbfe50006416b39f0c25c3da25b096e728c9d150  21.0.0+4fcf437b75                        sconsUtils
verify_metrics            51dd38915ecb8325c834d96119ac21c0e9d663af  21.0.0-1-g51dd389+4fcf437b75             sconsUtils
pex_exceptions            de069b70e5abe0cb21eda8786941313c025a7f21  21.0.0-2-gde069b7+f69268ea3b             base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  lsst-dev-g9d18589735+2809726f89          scarlet
utils                     d222c45913825c3004d80410b2e0ddbacea36e5b  21.0.0-3-gd222c45+22d4bb7471             base,pex_exceptions
daf_base                  f910f653d804b5cfbc1ae856b27ecda95f55ca9e  21.0.0+0e33d5f78f                        utils,pex_exceptions
daf_butler                8bab6bc1caccb2bab6c5fff3d0515ffc7f7f05a1  21.0.0-20-g8bab6bc1+444c466c76           sphgeom,sconsUtils,utils
geom                      8f08a60d1b1f7a077573a4bbd290ae203e610bcf  21.0.0-2-g8f08a60+444c466c76             sconsUtils,sphgeom,pex_exceptions,utils
log                       2909d54ab2676abb0c90e9aefb36f217014e52e5  21.0.0-2-g2909d54+0e33d5f78f             base,sconsUtils,utils
sims_almanac              021b69e146185b5362cbd16f017d3f312930c1a3  master-g021b69e146+0e33d5f78f            base,utils
sims_survey_fields        3f5255daf361aa322d1c4a72f0310a609ecb7052  2.13.0.sims-1-g3f5255d+0e33d5f78f        utils
sims_utils                40e226b5b1db60fb04210abb480bf43e593a6c41  2.13.0.sims-44-g40e226b+fbebda07ab       utils,palpy,sims_data
astro_metadata_translator 39729a37af1ce024cedfe4849bc2b8bcd45c1f88  0.1.0-18-g39729a3+025804becd             sconsUtils,daf_base
daf_persistence           a885a9928193423a2d369b61a3b71fe098e1bb35  21.0.0-2-ga885a99+ccdec76bb4             utils,log,daf_base
pex_config                a51b5d4678a70284aacf13abefed49efedf331ba  21.0.0-1-ga51b5d4+025804becd             daf_base
sims_catalogs             07da441c31ab45787a82b3784805c0dd6b343574  2.13.0.sims-7-g07da441+272d55ded5        daf_butler,pymssql,sims_utils,utils
sims_photUtils            557295365d7cbb4ba14068f51719138413954264  2.13.0.sims-3-g5572953+dc3e18a62f        utils,sims_utils,throughputs
