# product                 SHA1                                      Version                       
BUILD=b3005
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
starlink_ast              a9f9e994b6d85b3e1a5d3408f9831af77ecee394  lsst-dev-ga9f9e994b6                     
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1                               cfitsio
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+1                           python
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  master-g6f4b1f770b                       
numpy                     4dbe59ce5fcdb41375339587e82cbad825a3d998  0.0.4                                    python
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+2                     cfitsio,wcslib,gsl,numpy
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+3                            python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0                                   python
marshmallow               49b1716604771ccfdbda5a0011d97d8152aa7da9  2.13.5                                   python
python_psutil             11e66a19cedecba67caa0c08675b630e3806927a  4.1.0+3                                  python
matplotlib                d202e908f28541deeeb861c2b656d9d3f900db10  0.0.4+1                                  python,numpy
astropy                   47e80e26de26053521c607df82a3a4512572362b  0.0.1.lsst2+2                            python
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+8                            python,mariadbclient
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst1-2-g6ae2b7a                    python,libyaml
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+1                                  python
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+1                           python,numpy,pykg_config,cfitsio,astropy
flask                     f44895ae1750d69ddd6116721d00ec24477cf064  0.12                                     python
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+1                             python
esutil                    49b0a12ac880c1b059d28c9f752fed0630ed2a12  0.6.0+2                                  python,numpy
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+2                            python_d2to1
scons                     28a8b6786a075b8eb74852989adbc6d2b6859815  2.5.0.lsst2+1                            python
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+4                            python,numpy
sconsUtils                c601e82dc6de2e161ae96df31d51f8ffb1864401  13.0-7-gc601e82                          scons,python_future,doxygen
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+5                                  python,numpy,scipy
base                      08b50437b7c60fa4d79cb7e9563b138994ae70b8  13.0-6-g08b5043                          sconsUtils,pybind11,python,python_future,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+95                                  sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  13.0-1-g1546c47+5                        sconsUtils
pex_exceptions            50559bf8ec8bcaec04ffc51be7894af535e44d28  13.0-2-g50559bf                          base,boost,pybind11,python,python_future
ndarray                   0cefb592d352c9aa3fc02d0fec41ec9b7c8a2a36  1.3.0-4-g0cefb59                         boost,python,numpy,eigen,pybind11,fftw
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+8                                  numpy,python_d2to1,stsci_distutils
astshim                   f6b1fd7af3e7147e4266d1bb44b9a8be5df29870  master-gf6b1fd7af3+2                     sconsUtils,ndarray,numpy,starlink_ast,pybind11
dax_webservcommon         2722609b055ab7f42604f1b1b1409c1432f1be89  12.1-1-g2722609+1                        python,scons,sconsUtils
utils                     b7ca535d296da14be4b24e30b13e92d04b1455b5  13.0-8-gb7ca535                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       eef1ef2785e6c6693c8d650320b1891274f88401  13.0-6-geef1ef2+6                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  12.1+34                                  sconsUtils,python_future,utils
daf_base                  167564e618aea206892113b3ae4f3192a0092d48  13.0-2-g167564e+9                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        5a74774918e1600d25d388733ea843dfe7b07b73  13.0-2-g5a74774+1                        log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
dax_dbserv                c1d5c25d34b8077ab6549d47a50eeff2f046b97b  12.1-7-gc1d5c25+3                        dax_webservcommon,db,flask,log,python,python_mysqlclient,scons,sconsUtils,sqlalchemy
pex_policy                47a359cbccd4e3f51580cd0a7ea56e4d68d65593  13.0-1-g47a359c+13                       daf_base,utils,python_future,pybind11,python
pex_config                520d906c05ccfeaad9795015443f66a97624ad6b  13.0-3-g520d906+1                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
dax_metaserv              6e5c8e42d81c5395a63beebffec986374320c4c9  12.1-5-g6e5c8e4+3                        dax_webservcommon,db,flask,python,python_mysqlclient,scons,sconsUtils,sqlalchemy,marshmallow
daf_persistence           48013df8d30a85863377ea719818e21ed526f0ce  13.0-31-g48013df                         log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
afw                       a1c44404738dcd73ff400e3bcd176ffe4dd51aab  13.0-94-ga1c4440                         daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,pyfits,matplotlib,afwdata
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+67                                  utils,pex_policy,geom,afw,python_future,sconsUtils
skymap                    2a407664ddc6d2bc303483658fc287ed01844fd2  13.0-5-g2a40766+1                        numpy,afw,healpy
obs_base                  52e9227065f8b7e39f8d44b6aa75b0aeb76a972c  13.0-42-g52e9227                         daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  bb93d41a826f70f947cd7b63bbee39efaa7cad5a  13.0-10-gbb93d41+23                      afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 af0c0ec8abae6c92bfa668eb0eec21617ed892d9  13.0-12-gaf0c0ec+1                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  13.0-4-g4231ded+2                        afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  13.0-3-g3542790+2                        coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
