# product                 SHA1                                      Version                       
BUILD=b4998
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  20.0.0                                   
fgcm                      1707e9c10bd01419edc1bb73eca27017173629e1  lsst-dev-g1707e9c10b                     
alert_packet              e2bc8cbd00a5ca7ee72196eda2735950ac834604  master-ge2bc8cbd00                       
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
proxmin                   f3c77c137e9a1d4aec2327fe20a00b737a9bff47  lsst-dev-gf3c77c137e                     
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  20.0.0                                   
firefly_client            ae83af3b70c29dfa908b8bf06ddb593195c6c16e  lsst-dev-gae83af3b70                     
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  20.0.0                                   
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  20.0.0                                   
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  20.0.0                                   
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  20.0.0                                   
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
testdata_subaru           316d0cebfe4ba6035df57593a73b54c5a8fd0ac0  20.0.0-1-g316d0ce                        
testdata_jointcal         aafa04de12272748935336bc9c18f70618054d5d  20.0.0-2-gaafa04d                        
sconsUtils                c4fbba5115c247242fa884bc828940457baae49a  20.0.0-1-gc4fbba5                        
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  20.0.0+1                                 sconsUtils
testdata_decam            47917b28e7eff24162f0ba898a02c9e606ef4a4f  20.0.0-2-g47917b2                        
obs_decam_data            7048e9c24cba5cc4530673ac24056a5b64b15268  20.0.0-1-g7048e9c                        
scarlet                   516ae2b0c8129032cf9fe43679c1c27f293408ed  lsst-dev-g516ae2b0c8                     proxmin
psfex                     a90eac9742e8c7f0280a06fc7e59f4acf6af86b1  19.0.0-3-ga90eac9+2                      sconsUtils
sphgeom                   d2e950ecf569e4b7d7d19eed9ff2a58315588f03  20.0.0-3-gd2e950e                        sconsUtils
jointcal_cholmod          07e7fe16037819979811ebb0c62ce864391a9f58  master-g07e7fe1603+3                     sconsUtils
sdm_schemas               5e0d484223c14309dd7ccdfec640a92147e33fac  15.0-17-g5e0d484                         sconsUtils
astshim                   e74d1243ec454ae9114f78745dfbf1146f28f62e  20.0.0+1                                 sconsUtils
base                      4a2362f47cddbeaa6169bf4d124e2e16ced6c532  20.0.0-4-g4a2362f                        sconsUtils
pex_exceptions            5a8b32307a533f330184baf2541fdc992f91826a  20.0.0+3                                 base
utils                     920eed2ca375a5ab36af36a63d6bc2c3a1d03ef1  20.0.0+3                                 base,pex_exceptions
log                       d1c87d7f0f5a2c9ef125d15c199cea59e2a3ada4  20.0.0-1-gd1c87d7+2                      base,sconsUtils,utils
daf_base                  8a53f90e84ecadcf3f7b8af978e0334a2b60ae93  20.0.0-1-g8a53f90+2                      utils,pex_exceptions
