# product                 SHA1                                      Version                       
BUILD=b4014
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+4                                  python
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
pyflakes                  c40c6e7aabfdd6cf53c2c4d55349faf0ed9ec659  2.0.0                                    python
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+4                            python
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
pyyaml                    3bcd4dccc5b99536f1d50e1a9026f982f74cb206  3.13                                     python,libyaml
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+3                                  python
numpy                     6d6b4336bca07656dc555711d538cb7f5de4c175  1.14.5                                   python
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+2                                  python
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1                                    python
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+1                            python
pycodestyle               73cc0df77641c71983c1630411ce3fc1e80a0509  2.4.0                                    python
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+3                            python
esutil                    dae48e722a28e0cf9585e2edafef9b520103e70f  0.6.2.5.lsst2+1                          python,numpy
scipy                     fed6564713e0334ccce262d64d8a85c828dc6c2d  1.1.0                                    python,numpy
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+6                                  python,mpi
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+3                             cfitsio
matplotlib                1577d58593dcab1c7fc7a4bae30437297d8e71c5  2.2.2                                    python,numpy
python_py                 fe1347d431593dfe05770f286b3070db4afaeffd  1.7.0                                    python
pytest                    e2a44db8088df514751154930bd648aede4d4c28  3.6.2.lsst2                              python,python_py
sqlalchemy                b10e179a4fb2e544ed6b44be81e6534b1b267aa4  1.2.16                                   python
