# product                 SHA1                                      Version                       
BUILD=b4172
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
python                    4a86a4cd72245855c8a4c6c085c4bc7c5ee35c66  0.0.9                                    
numpy                     6d6b4336bca07656dc555711d538cb7f5de4c175  1.14.5+1                                 python
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
matplotlib                1577d58593dcab1c7fc7a4bae30437297d8e71c5  2.2.2+1                                  python,numpy
astropy                   f103417e2debfdf9faca903ba4e3601601def058  3.0.3+1                                  python
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+2                            python
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+1                                  python
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+4                                 python
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+1                                  python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+5                            python
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
scipy                     fed6564713e0334ccce262d64d8a85c828dc6c2d  1.1.0+1                                  python,numpy
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+3                                  python
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+3                             cfitsio
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1+1                                  python
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
boost                     1c4857aab764a237db2c3bb6e70c6888d580834b  1.69                                     python
esutil                    dae48e722a28e0cf9585e2edafef9b520103e70f  0.6.2.5.lsst2+2                          python,numpy
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+5                                  python
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+4                            python
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
python_py                 fe1347d431593dfe05770f286b3070db4afaeffd  1.7.0+1                                  python
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+10                                 python,numpy,scipy
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+1                                    python,libyaml
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+11                    cfitsio,wcslib,gsl,numpy
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+4                                  python
pytest                    e2a44db8088df514751154930bd648aede4d4c28  3.6.2.lsst2+1                            python,python_py
sqlalchemy                b10e179a4fb2e544ed6b44be81e6534b1b267aa4  1.2.16+1                                 python
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+2                            numpy,pyyaml
firefly_client            aed8ac22315a448962b4322fc2f87eb0a42ec7eb  lsst-dev-gaed8ac2231+1                   ws4py,python_future
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
ndarray                   4efe0d171c211d5e266ddab6bcdee6b34f401e4f  1.5.2+2                                  boost,python,numpy,eigen,pybind11,fftw
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+2                           python,numpy,pykg_config,cfitsio,astropy
