# product                 SHA1                                      Version                       
BUILD=b4157
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
python                    4a86a4cd72245855c8a4c6c085c4bc7c5ee35c66  0.0.9                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
sqlalchemy                b10e179a4fb2e544ed6b44be81e6534b1b267aa4  1.2.16+1                                 python
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+4                                  python
python_py                 fe1347d431593dfe05770f286b3070db4afaeffd  1.7.0+1                                  python
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+1                                    python,libyaml
pytest                    e2a44db8088df514751154930bd648aede4d4c28  3.6.2.lsst2+1                            python,python_py
numpy                     6d6b4336bca07656dc555711d538cb7f5de4c175  1.14.5+1                                 python
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+2                            python
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+1                                  python
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+2                            numpy,pyyaml
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+5                                  python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+4                                 python
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+5                            python
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+14                                 python,pytest
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+4                            python
boost                     1c4857aab764a237db2c3bb6e70c6888d580834b  1.69                                     python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+3                                  python
scipy                     fed6564713e0334ccce262d64d8a85c828dc6c2d  1.1.0+1                                  python,numpy
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1+1                                  python
astropy                   f103417e2debfdf9faca903ba4e3601601def058  3.0.3+1                                  python
matplotlib                1577d58593dcab1c7fc7a4bae30437297d8e71c5  2.2.2+1                                  python,numpy
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+3                             cfitsio
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+1                                  python
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+14                                 python,pytest
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb+2                   numpy,scipy
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+1                                  python,mpi
esutil                    dae48e722a28e0cf9585e2edafef9b520103e70f  0.6.2.5.lsst2+2                          python,numpy
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+6                              python,pytest
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+1                                  python,python_mccabe,pycodestyle,pyflakes
ndarray                   4efe0d171c211d5e266ddab6bcdee6b34f401e4f  1.5.2+2                                  boost,python,numpy,eigen,pybind11,fftw
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+10                                 python,numpy,scipy
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+1                               python,numpy,python_future
firefly_client            aed8ac22315a448962b4322fc2f87eb0a42ec7eb  lsst-dev-gaed8ac2231+1                   ws4py,python_future
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4+1                                  python,pytest,flake8
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+5                                  python,pytest,python_coverage
