# product                 SHA1                                      Version                       
BUILD=b5221
afwdata                   fb580e5660c742a57a6986133b051b2e84170121  20.0.0-1-gfb580e5                        
alert_packet              9c6f3ccb69ff2da8cd0f0e80b92e94cfdac83a6a  master-g9c6f3ccb69                       
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  20.0.0-2-g5887cb0                        
ap_verify_testdata        b5d8dbb57be7312d1f4a3fee691a8aab7c8467b0  20.0.0-17-gb5d8dbb                       
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
fgcm                      1f68fb7ac6bb37a8539a7661bd48aa099e55ff1a  lsst-dev-g1f68fb7ac6                     
firefly_client            508dc7262a76850e0095defb6fae06e0adb234e0  lsst-dev-g508dc7262a                     
obs_decam_data            1fa5c9e7ed051629cbe104e4033fe1d5ca1e83b8  20.0.0-2-g1fa5c9e                        
obs_lsst_data             7ccd7437d5e623a67da97dd70389f5e8e6203e2c  20.0.0-7-g7ccd743                        
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  20.0.0-2-g2f68bc2                        
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  20.0.0-1-g86cffb0                        
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                9a8dc73fbcf953828928a0b252a3747277ac3d68  20.0.0-2-g9a8dc73                        
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  20.0.0-1-ga65e6c7                        
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  20.0.0-1-g2cc488a                        
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  20.0.0-3-g4c8566d                        
testdata_jointcal         025473842ee6a1196d3a4eeb00122aaad3766a1d  20.0.0-5-g0254738                        
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  20.0.0-2-gbf01ab0                        
validation_data_cfht      e74e1c8039631b2905b06fc4480a3acbb3d4a3bf  20.0.0-1-ge74e1c8                        
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  20.0.0-1-g617ce97                        
astshim                   45278abf610f9a7a7b3c196036ebd947350239c0  20.0.0-4-g45278ab+d529cf1a41             sconsUtils
base                      5051ac27f85afd50de03565743aaaa67479a0063  20.0.0-9-g5051ac2+d529cf1a41             sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  master-gaea3fc0611+d529cf1a41            sconsUtils
kht                       85ae2b958399c0514c27a9928c036c494fbbc2b8  lsst-dev-g85ae2b9583+fe93bf5141          eigen
psfex                     7899db8d8d59526fbd85aa21d967baa5ae2134e0  19.0.0-4-g7899db8+d529cf1a41             sconsUtils
scarlet                   accceaf1d02f82043df7ceaf3a49e5e934bec234  lsst-dev-gaccceaf1d0+f31336177f          proxmin
sdm_schemas               e52cb69ccc5d4959425537ae5b32086cc34b9a04  15.0-22-ge52cb69+d529cf1a41              sconsUtils
sphgeom                   fbfe50006416b39f0c25c3da25b096e728c9d150  20.0.0-5-gfbfe500+d529cf1a41             sconsUtils
verify_metrics            51dd38915ecb8325c834d96119ac21c0e9d663af  20.0.0-6-g51dd389+d529cf1a41             sconsUtils
pex_exceptions            de069b70e5abe0cb21eda8786941313c025a7f21  20.0.0-2-gde069b7+44dbdb3492             base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  lsst-dev-g9d18589735+2809726f89          scarlet
utils                     d222c45913825c3004d80410b2e0ddbacea36e5b  20.0.0-6-gd222c45+88b21af515             base,pex_exceptions
daf_base                  f910f653d804b5cfbc1ae856b27ecda95f55ca9e  20.0.0-4-gf910f65+37efb4748c             utils,pex_exceptions
daf_butler                b6748501df04ec7516466a76126ae4711a6c2c2c  19.0.0-211-gb6748501+4fac22bdb7          sphgeom,sconsUtils,utils
geom                      8f08a60d1b1f7a077573a4bbd290ae203e610bcf  20.0.0-5-g8f08a60+4fac22bdb7             sconsUtils,sphgeom,pex_exceptions,utils
log                       2909d54ab2676abb0c90e9aefb36f217014e52e5  20.0.0-4-g2909d54+37efb4748c             base,sconsUtils,utils
astro_metadata_translator 39729a37af1ce024cedfe4849bc2b8bcd45c1f88  0.1.0-18-g39729a3+6432c6fd8d             sconsUtils,daf_base
