# product                 SHA1                                      Version                       
BUILD=b4694
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_decam            ceb8033df3cfb72258b34257bac1b2649f7282dc  19.0.0-1-gceb8033                        
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
validation_data_cfht      38570ab94a8ba00dd785eb6b9a58600aff02e694  19.0.0-2-g38570ab                        
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+5                                  python
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  19.0.0                                   
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
obs_lsst_data             ac8c27c4c23e16d1810f0071737ba296776fa35f  19.0.0-1-gac8c27c                        
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
astropy                   5006c745bb1dd6a583acc34b11ea3986ca462b95  3.1.2.lsst2                              python
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+2                            python,numpy,eigen
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
pytest_session2file       c58ee1678f3d857602a6af30cc331913e41f667b  0.1.9-1-gc58ee16                         python
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
python_mccabe             86ed08f574f8482e562f95e461fcf8a3ec561f00  0.6.1-1-g86ed08f                         python
firefly_client            97c9674977b979349adf7f2921ae6fd0c842797f  2.2.0.lsst1                              ws4py,python_future
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+3                            numpy,pyyaml
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+2                                  python,mpi
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3+2                                  boost,python,numpy,eigen,pybind11,fftw
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+5                           python,numpy,pykg_config,cfitsio,astropy
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+3                                  python,python_mccabe,pycodestyle,pyflakes
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+3                                  python,flake8
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
pytest_flake8             8dd8c06520ce9a769d5fabb76d0b77e7d8d867c5  1.0.4-1-g8dd8c06                         python,flake8
fgcm                      7d178bbad73bac49eee8e3fc809af01eb0fc4ba4  lsst-dev-g7d178bbad7                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
proxmin                   efd6ccc7f71efbdf2a095564ef82b222f0b31d8c  lsst-dev-gefd6ccc7f7                     numpy,scipy
scarlet                   5b72d4495c8d369d207a9c93f8e53ed665dbcc38  lsst-dev-g5b72d4495c                     pybind11,scipy,numpy,eigen,proxmin,autograd
sconsUtils                42516564a984c28774fbfeac9483dd7668ac985a  19.0.0                                   scons,pytest_flake8,pep8_naming,pytest_session2file,doxygen
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst+2                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
astshim                   a72da6bbfa9d1fec5e5d87d1aa560234f2b95958  19.0.0-1-ga72da6b                        sconsUtils,ndarray,numpy,starlink_ast,pybind11
base                      9675b69d53decfd7a17e052ec242fb5a4253b6ae  19.0.0-2-g9675b69                        sconsUtils,pybind11,python,doxygen
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  19.0.0+2                                 base,boost,pybind11,python
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+5                        sconsUtils
sphgeom                   5549ca46ee7ac2727962caa0b578589045194d67  19.0.0-1-g5549ca4+1                      base,sconsUtils,pybind11,doxygen
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+37                                  gsl,sconsUtils,fftw
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  19.0.0-1-g8efd64f                        sconsUtils
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+10                    scons,sconsUtils
utils                     686a884ec18b5a6267ea32289b315f2d3bb31c30  19.0.0-7-g686a884+1                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
daf_base                  49a97f9b6dba30d9f445da803e06e9b3f555cafb  19.0.0-1-g49a97f9                        utils,pex_exceptions,pybind11,python,numpy,pyyaml
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  19.0.0+6                                 daf_base,utils,pybind11,python
geom                      de8e5e3b60ee950df6a6c88af15d8ccb4d53eb24  19.0.0-2-gde8e5e3                        boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       03d53ef8083cf25d560524726eea15af535ff53a  19.0.0+6                                 boost,log4cxx,base,pybind11,python,sconsUtils,utils
astro_metadata_translator b976306e3e6fb85232cc838a145475ae8f16ca31  0.1.0-10-gb976306                        scons,sconsUtils,pyyaml,astropy,daf_base
daf_persistence           6fe20d0c02ce2664b5d4b51dc34d34fc1ec7fdb0  19.0.0-1-g6fe20d0+5                      log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                c4f6e04fdae3c56f2a8640952cbdb4bb4742a63a  19.0.0-3-gc4f6e04+3                      numpy,pybind11,python,daf_base,pex_policy
ctrl_orca                 36382b0fdec280e89d3ae8aa1e7c3f4941d831a3  19.0.0-1-g36382b0+7                      utils,pex_config,daf_persistence,log
afw                       3888aff521a4ecd3305599db38cb98fb2220abf1  19.0.0-11-g3888aff52                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  18.0.0+58                                afw,xpa,pybind11
ctrl_execute              7fa7663e7155b3eff9f506bb5735a8204170633b  19.0.0-1-g7fa7663+7                      ctrl_orca,pex_config,utils
shapelet                  20d9b18fc4035c479378fae07027228830a3b27f  19.0.0-1-g20d9b18+14                     afw,numpy,scons,sconsUtils,pybind11,geom,scipy
display_firefly           8c57eb963c0c17ac75b2466a93c44ca8b330b821  19.0.0-1-g8c57eb9+14                     afw,geom,log,firefly_client
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0+36                                ctrl_execute
daf_butler                22479a49519328f3ff58ccd81a2f3076ce17ea1b  19.0.0-20-g22479a49                      sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
dax_apdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  19.0.0-1-ge272bc4+14                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
display_matplotlib        580fafe5d73f258a6ba867592a09f9efef8d13fb  19.0.0-1-g580fafe+14                     afw,matplotlib
pipe_base                 b6b8b0ad3746dc8c46758137f643655310a680ec  19.0.0-6-gb6b8b0a+9                      daf_butler,daf_persistence,log,pex_config,utils,afw
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  19.0.0+24                                numpy,sphgeom,geom,afw,daf_butler,healpy
obs_base                  6de566f32d0b14507285929a4ba122a9edb5339b  19.0.0-20-g6de566f+1                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    8226a54a130b8b0fa9c77b778b084d3a62e78f2d  19.0.0-10-g8226a54+14                    astropy,pyyaml,numpy,sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_pool                 260436e5942073d83ef12ecad5cbacc21e5167e5  19.0.0-2-g260436e+9                      daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               efe1d0da3a5767432c665339311a179f8b65e26e  19.0.0-1-gefe1d0d+5                      afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
ctrl_mpexec               52b04eb70e4b87e593fc0f143fef41d888b9c29f  19.0.0-7-g52b04eb+9                      daf_butler,log,pex_config,pipe_base
obs_test                  0d9f9cdec7c2b7ed88f58b6045ae5cb9eaa55dd0  19.0.0-2-g0d9f9cd+25                     afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
meas_base                 dc0e4a7814c461759b75d7b8f3ecaf73893b5508  19.0.0-1-gdc0e4a7+23                     utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           5a632bb5af790a665a956e094c3953eda4f0afcc  19.0.0-6-g5a632bb5+7                     astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_simpleShape 2505f398cf0fdfbadb955bac01d96f74ee4167f0  19.0.0+25                                scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  19.0.0+27                                meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  19.0.0+27                                geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
ip_isr                    2034a75524feb27825663eb27b654cb977c4a5b0  19.0.0-8-g2034a75+3                      meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  19.0.0+32                                afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  19.0.0+27                                obs_test
meas_extensions_scarlet   5a9b9d422dc0308887f1057508a6bab07a798a37  19.0.0-4-g5a9b9d4                        base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
ap_association            a27869033af8173289a8e62573d6ddfdcd713522  19.0.0-11-ga278690+14                    afw,meas_algorithms,pex_config,pipe_base,dax_apdb,verify,numpy,scipy
obs_ctio0m9               a2826f2ea91c6984f69b2f35678445b7249f50bd  19.0.0+31                                afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
