# product                 SHA1                                      Version                       
BUILD=b6738
afwdata                   cfa8984a65037e295ce6fe408a3be9293fce394f  gcfa8984a65                              
alert_packet              c1f99d08cbe11ff308da09ca11a607d4f074b9f9  gc1f99d08cb                              
ap_verify_testdata        2c2d231d69267d75cc754bf5eb3e8ac5363b7734  g2c2d231d69                              
fgcm                      8d9a5b08052c3a6f0f8280771f1c6f39599bae82  g8d9a5b0805                              
gbdes                     c329cc8a54929cc09a314378a780a76143337aa1  gc329cc8a54                              
kht                       afcb7142decdb77911b08be3ee495256b2f19ed3  gafcb7142de                              
obs_decam_data            9eeeb5e1744bf8adbf537d8090ce4329e9927f2a  g9eeeb5e174                              
obs_lsst_data             5736ae6652b7467a03c746298b8b18c0a5190b22  g5736ae6652                              
obs_subaru_data           7ff78db35487d4e684a72e349abc7204559ea87b  g7ff78db354                              
proxmin                   33b4157f2516bd8c00926329f87583cee3ef3f95  g33b4157f25                              
sconsUtils                80c3e6a29ff02c838c6144038631f523d98d6f50  g80c3e6a29f                              
sdm_schemas               40caa8e2351fd2354741cdf8dd61c69b9e6ef317  g40caa8e235                              
spectractor               cf1727e4fb207fdbbcf8a253f7f4ddf9bf181eb4  gcf1727e4fb                              
testdata_cfht             6f12da9c6fde087ee76ca752d64ee876b6ca1548  g6f12da9c6f                              
testdata_deblender        87fb46585bb0ba968cb39ae1ee510fef5b1869f8  g87fb46585b                              
testdata_decam            083a80d7f211fc8ea4ad915867463b4e7a63411f  g083a80d7f2                              
testdata_jointcal         ba50592d5bfa775cffd203363e7c386ecb18122b  gba50592d5b                              
testdata_subaru           d0a08a8fc3033106dbb104609bb2e4289d052be9  gd0a08a8fc3                              
base                      98ffbb4407f2dc97b436cf63f7667fbd88b0ae49  g98ffbb4407+81bc2a20b4                   sconsUtils
dustmaps_cachedata        bb0a0c949e73ad2289341f9e0bf912c1e810fe45  gbb0a0c949e+81bc2a20b4                   sconsUtils
felis                     56b87fd2aed0f811359b643be96770454d238263  g56b87fd2ae+81bc2a20b4                   sconsUtils
jointcal_cholmod          81a980c3ddbbca861c73ffb98bce1fd1a391b2d6  g81a980c3dd+81bc2a20b4                   sconsUtils
psfex                     c054bea0892ababffb88c428211580bce04c3dfc  gc054bea089+81bc2a20b4                   sconsUtils
scarlet                   63ff1f842d17172d0fc78673342dfc53c01cae79  g63ff1f842d+4083830bf8                   proxmin
sphgeom                   877625a462a166d6c62699d0d3b0080967c75a55  g877625a462+81bc2a20b4                   sconsUtils
utils                     d22af0e847e386b2afe54da11324895903bbaa59  gd22af0e847+81bc2a20b4                   sconsUtils
verify_metrics            b1abcf23a75e6d0dc67e9e1527b4d284ca9f43aa  gb1abcf23a7+81bc2a20b4                   sconsUtils
daf_relation              8a20fa5453ac03bfd8e5dd4118d1e67b066af0fc  g8a20fa5453+a4f294311b                   sconsUtils,utils
log                       1e7d6db67d9d2240757233e5c1e027713d3c69a6  g1e7d6db67d+a4f294311b                   sconsUtils,utils
pex_exceptions            daeeff99f8728ee92fda84cdea39102f76477f23  gdaeeff99f8+0d8dbea60f                   base
resources                 9349d46f9b396199cbd2147f5c4be1a21e18278f  g9349d46f9b+a4f294311b                   sconsUtils,utils
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  g9d18589735+d445b4966c                   scarlet
