# product                 SHA1                                      Version                       
BUILD=b5727
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  22.0.0                                   
alert_packet              4f04a3420fc7f673e4cf1b64685a623dfbf10ec1  master-g4f04a3420f                       
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  22.0.0                                   
ap_verify_testdata        73447c0968141fe233e322d6828c18853c6bd2c0  22.0.0                                   
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
fgcm                      1e44fd2f375add9a8f13ed51178371279136a63b  lsst-dev-g1e44fd2f37                     
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  22.0.0                                   
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  22.0.1-1-gbdb8a92                        
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  22.0.0                                   
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  22.0.0                                   
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                e0be3457b30cd34bc8be7b69cedc6b98a40a8048  22.0.0-4-ge0be345                        
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  22.0.0                                   
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  22.0.0                                   
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  22.0.0                                   
testdata_jointcal         7cf939d2c7b2657a1d21aca2708be5777cfc174d  22.0.0                                   
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  22.0.0                                   
validation_data_cfht      e74e1c8039631b2905b06fc4480a3acbb3d4a3bf  22.0.0                                   
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  22.0.0                                   
astshim                   45278abf610f9a7a7b3c196036ebd947350239c0  22.0.0+64c1bc5aa5                        sconsUtils
base                      949febb8e2c10844dc07d52c00b435b3e5483689  22.0.1-1-g949febb+64c1bc5aa5             sconsUtils
dustmaps_cachedata        d5d683fb325c2522198be68c8b6af2cb112e17b7  22.0.0+64c1bc5aa5                        sconsUtils
jointcal_cholmod          aea3fc061146b77b81e1cd10c0bad57c99e92e4e  master-gaea3fc0611+64c1bc5aa5            sconsUtils
kht                       14ffe67dc213e67ddceddbca8aa16c8435674325  lsst-dev-g14ffe67dc2+fe93bf5141          eigen
psfex                     57437a15a7692a36fb9b6f02abddd16ce4a51df2  22.0.1-1-g57437a1+64c1bc5aa5             sconsUtils
scarlet                   965bb5fbbf567aa5dac626ad343ccef168ebe0b2  lsst-dev-g965bb5fbbf+f31336177f          proxmin
sdm_schemas               a1391828ed04cfe22911529777a4c0c0b5d8cc66  22.0.1-16-ga139182+64c1bc5aa5            sconsUtils
sphgeom                   8760c0928e93f2ae29745aa559aa3cf01d92f815  22.0.1-1-g8760c09+64c1bc5aa5             sconsUtils
verify_metrics            7e9ec59cc14899e47691a60bbba640b47d328398  22.0.1-2-g7e9ec59+64c1bc5aa5             sconsUtils
pex_exceptions            de069b70e5abe0cb21eda8786941313c025a7f21  22.0.0+11a2aa21cd                        base
scarlet_extensions        9d1858973594594d1fd70a257f99b89e77df79fc  lsst-dev-g9d18589735+5de2e29f4b          scarlet
utils                     5b7b7564b9d982b5e201250998d54bdaff44ec1b  22.0.1-4-g5b7b756+6b209d634c             base,pex_exceptions
daf_base                  1930a60f4bdbfd3fbf2ab53be8d85a3575fffeb9  22.0.1-4-g1930a60+6871d0c7f6             utils,pex_exceptions
