# product                 SHA1                                      Version                       
BUILD=b3250
starlink_ast              8bde9091e6a2492c5b720a36f163dabef0fe5280  lsst-dev-g8bde9091e6                     
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst4-1-gf398627                    
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst2-1-g8975fe8                   
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+1                             cfitsio
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
pyflakes                  2c8b201b94934f7fa7a3c7bff3d39731a7ac61aa  1.6.0                                    python
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+2                           python
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
python_psutil             11e66a19cedecba67caa0c08675b630e3806927a  4.1.0+4                                  python
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
flask                     f44895ae1750d69ddd6116721d00ec24477cf064  0.12+1                                   python
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+4                            python
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+1                            python
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst1-2-g6ae2b7a+1                  python,libyaml
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+1                                  python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+1                                 python
pytest                    5d2f356ca06299b8765f94a9b0a1c894e6469515  3.2.0+1                                  python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+2                                  python
marshmallow               49b1716604771ccfdbda5a0011d97d8152aa7da9  2.13.5+1                                 python
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+2                             python
pytest_forked             1dd93f6f4ba74f155c474f17c9ed1d6381cf54eb  0.2+1                                    python,pytest
astropy                   4d079c1f2ee2e98c7771a0c61b15ffd17e211257  2.0.1                                    python
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+10                           python,mariadbclient
python_execnet            0a0a1cc347df6e3644b5663493c7f8e101b827d9  1.4.1+1                                  python
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+1                                  python,pytest
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1+1                                  python
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+1                                  python,pytest
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+3                            python_d2to1
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0                                    python,python_mccabe,pycodestyle,pyflakes,pep8_naming
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1                                   python
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2                                    python,numpy
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+3                           python,numpy,pykg_config,cfitsio,astropy
esutil                    49b0a12ac880c1b059d28c9f752fed0630ed2a12  0.6.0+3                                  python,numpy
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1                                    python,pytest,flake8
ndarray                   0cefb592d352c9aa3fc02d0fec41ec9b7c8a2a36  1.3.0-4-g0cefb59+3                       boost,python,numpy,eigen,pybind11,fftw
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+9                                  numpy,python_d2to1,stsci_distutils
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+4                     cfitsio,wcslib,gsl,numpy
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+5                            python,numpy
pytest_xdist              1b745321b53164454e01dd2c4b09ff391918ab6c  1.20.1+1                                 python,pytest,pytest_forked,python_execnet
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+6                                  python,numpy,scipy
sconsUtils                20aad024f419df18b73391cc10aedc0da6886af3  14.0-12-g20aad02                         scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
astshim                   a7aaa25d732e543be8cb2e6e677ee6529171db8f  14.0-10-ga7aaa25                         sconsUtils,ndarray,numpy,starlink_ast,pybind11
dax_webservcommon         5b3c1492ed0972ac63211423b7c55aeabc49b074  12.1-3-g5b3c149                          python,scons,sconsUtils,flask
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+5                                   sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+116                                 sconsUtils
base                      7f6dd6b394bba8c4305053c87ee61f1a266b4dd6  14.0-8-g7f6dd6b                          sconsUtils,pybind11,python,python_future,doxygen
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+3                        base,boost,pybind11,python,python_future
utils                     4f52afece444a43844774b16b76b3fd0f5f87967  14.0-6-g4f52afe                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+1                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+4                        sconsUtils,python_future,utils
daf_base                  e2d7f2107e5c1df6ffe9b0a89b5b6b5f3f4f4b0e  14.0-4-ge2d7f21+1                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+5                                   log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+4                        daf_base,utils,python_future,pybind11,python
dax_dbserv                c1d5c25d34b8077ab6549d47a50eeff2f046b97b  12.1-7-gc1d5c25+6                        dax_webservcommon,db,flask,log,python,python_mysqlclient,scons,sconsUtils,sqlalchemy
pex_config                319577b89f1531665b826ffd6ba41816fae057e6  14.0-2-g319577b+1                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
dax_metaserv              6e5c8e42d81c5395a63beebffec986374320c4c9  12.1-5-g6e5c8e4+6                        dax_webservcommon,db,flask,python,python_mysqlclient,scons,sconsUtils,sqlalchemy,marshmallow
daf_persistence           383e141b44bd0ebda00e973f027428a049b6d608  14.0-13-g383e141+1                       log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
afw                       0e8fc950e80657e8b929bdb7de795eafea05015e  14.0-25-g0e8fc950e                       daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
skymap                    83736566f6907c5cb226f22c1d0dd2d36c95738e  14.0-2-g8373656                          numpy,afw,healpy
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+124                                 utils,pex_policy,geom,afw,python_future,sconsUtils
obs_base                  0eec5f57d80557aa59a89a503b41377aaae70c38  14.0-18-g0eec5f5                         daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  7685640fdd077df8d3ebfc4117ab57214fb7cb40  14.0-4-g7685640+14                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+6                        daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  14.0+16                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 fe379c9b97d54674b3de1305724bf8de6e1fee02  14.0-11-gfe379c9                         python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           23fdbe95413b57bd796a1d816f07b36ec9430ae7  14.0-7-g23fdbe95+10                      daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+15                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
meas_astrom               4cc409dee2569db2ac9fb109ef9a6dd2b1508161  14.0-4-g4cc409d+5                        afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  14.0+16                                  coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
ip_diffim                 f4bc96c2884ee8ae596ef48e64bf004485759a37  14.0-6-gf4bc96c+15                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
ip_isr                    0af5a6cf479a54f9fca208aff1e4d9f46f65eb77  14.0-2-g0af5a6c+15                       python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_astrometryNet 013352ca6ac72b387ea9975dca8535d20a8217d2  14.0-1-g013352c                          afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
pipe_tasks                d8de687a8abc55d858804e6e25a0641f8c47a56b  14.0-26-gd8de687a+1                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  9e642e989656e1467e83b1a75445f335c9c82251  14.0-4-g9e642e9+1                        pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
dax_imgserv               18cba865e87c0adb845364b6af58a9c777d9bd91  12.1-16-g18cba86                         afw,base,boost,daf_base,db,doxygen,flask,log,python_mysqlclient,obs_sdss,scons,sconsUtils,skymap,sqlalchemy
dax_webserv               70373f2b2908d23c9950f7de34d81c1d12c115ac  12.1-13-g70373f2+2                       db,flask,dax_dbserv,dax_imgserv,dax_metaserv,python_mysqlclient
